TGEN_SampleID	TBP_SampleID	SRA_RunAcc_SR	Seq_Group	EventID	Event_Gene(s)	Event_Relationship	Sequenced?	PB_SeqRunName	Note	Comments/Special Instructions
DNA0428	TB6733	SRR10379945	PutativeRecomb	Event_001	vapC25,vapB25	Within_Event	Y	P7529		AltId: PBO_SRR10379945
DNA373	TB3898	SRR10397263	PutativeRecomb	Event_001	vapC25,vapB25	Outside_Event	Y	P7529		AltId: PBO_SRR10397263
DNA146	TB7340	SRR10380093	PutativeRecomb	Event_002 | Event_024	Rv0393 | PPE59,Rv3430c	Outside_Event | Within_Event	Y	P7544		AltId: PBO_SRR10380093
DNA0530	TB6977	SRR10380218	PutativeRecomb	Event_003	vapB31,vapC31	Outside_Event	Y	P7544		AltId: PBO_SRR10380218
DNA233	TB6964	SRR10380227	PutativeRecomb	Event_003 | Event_019	vapB31,vapC31 | PPE46	Within_Event | Within_Event	Y	P7559		AltId: PBO_SRR10380227
DNA594	TB3305	SRR10397175	PutativeRecomb	Event_006	Rv0979c,rpmF,PE_PGRS18	Within_Event	Y	P7529		AltId: PBO_SRR10397175
DNA621	TB3706	SRR10397096	PutativeRecomb	Event_006	Rv0979c,rpmF,PE_PGRS18	Outside_Event	Y	P7529		AltId: PBO_SRR10397096
DNA0432	TB6755	SRR10379935	PutativeRecomb	Event_007	Rv1148c	Within_Event	Y	P7559		AltId: PBO_SRR10379935
DNA246	TB7044	SRR10380192	PutativeRecomb	Event_007 | Event_008	Rv1148c | PPE18	Outside_Event | Outside_Event	Y	P7544		AltId: PBO_SRR10380192
DNA0441	TB6765	SRR10379924	PutativeRecomb	Event_010	PPE18,esxK,esxL	Outside_Event	Y	P7544		AltId: PBO_SRR10379924
DNA199	TB6552	SRR10380108	PutativeRecomb	Event_010	PPE18,esxK,esxL	Within_Event	Y	P7544		AltId: PBO_SRR10380108
DNA0453	TB6778	SRR10380252	PutativeRecomb	Event_011	PPE18	Within_Event	Y	P7559		AltId: PBO_SRR10380252
DNA237	TB6973	SRR10380223	PutativeRecomb	Event_012	PPE18	Outside_Event	Y	P7559		AltId: PBO_SRR10380223
DNA216	TB6786	SRR10380244	PutativeRecomb	Event_013	PPE19	Within_Event	Y	P7559		AltId: PBO_SRR10380244
DNA350	TB3256	SRR10397205	PutativeRecomb	Event_013	PPE19	Outside_Event	Y	P7559		AltId: PBO_SRR10397205
DNA014	TB4414	SRR10430399	PutativeRecomb	Event_016	Rv2651c	Outside_Event	Y	P7761		AltId: PBO_SRR10430399
DNA0414	TB6595	SRR10379962	PutativeRecomb	Event_017 | Event_023	ppsB | PPE56,Rv3351c	Outside_Event | Outside_Event	Y	P7761		AltId: PBO_SRR10379962
DNA0417	TB6599	SRR10379958	PutativeRecomb	Event_018	esxQ,PPE46	Outside_Event	Y	P7559		AltId: PBO_SRR10379958
DNA0527	TB6976	SRR10380219	PutativeRecomb	Event_019	PPE46	Outside_Event	Y	P7559		AltId: PBO_SRR10380219
DNA361	TB3572	SRR10397163	PutativeRecomb	Event_021	Rv3108	Within_Event	Y	P7544		AltId: PBO_SRR10397163
DNA0415	TB6596	SRR10379961	PutativeRecomb	Event_022	PPE56	Within_Event	Y	P7559		AltId: PBO_SRR10379961
DNA125	TB8073	SRR10380026	PutativeRecomb	Event_022	PPE56	Outside_Event	Y	P7544		AltId: PBO_SRR10380026
DNA0479	TB6807	SRR10379998	PutativeRecomb	Event_024	PPE59,Rv3430c	Outside_Event	Y	P7559		AltId: PBO_SRR10379998
DNA0511	TB6846	SRR10379893	PutativeRecomb	Event_025	PPE60	Within_Event	Y	P7544		AltId: PBO_SRR10379893
DNA041	TB4570	SRR10430372	MtbPhyloDiversity	NAN	NAN	NAN	Y	P7761		AltId: PBO_SRR10430372
DNA0486	TB6816	SRR10379988	MtbPhyloDiversity	NAN	NAN	NAN	Y	P7529		AltId: PBO_SRR10379988
DNA0551	TB7198	SRR10380186	MtbPhyloDiversity	NAN	NAN	NAN	Y	P7544		AltId: PBO_SRR10380186
DNA224	TB6830	SRR10379904	MtbPhyloDiversity	NAN	NAN	NAN	Y	P7544		AltId: PBO_SRR10379904
DNA287	TB7396	SRR10380035	MtbPhyloDiversity	NAN	NAN	NAN	Y	P7544		AltId: PBO_SRR10380035
DNA435	TB6760	SRR10379929	MtbPhyloDiversity	NAN	NAN	NAN	Y	P7544		AltId: PBO_SRR10379929
DNA177	TB7379	SRR10380054	MtbPhyloDiversity	NAN	NAN	NAN	Y	P7559		
