SampleID	TGEN_SampleID	SRA_RunAcc_SR	Dataset_Tag	SeqReason	Illumina_PE_FQs_PATH	PacBio_FQ_PATH	HybridAsm_FA_PATH
TB6733	DNA0428	SRR10379945	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6733/TB6733.SRR10379945.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6733/TB6733.SRR10379945.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6733/TB6733.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB6733.HybridAsm.fasta
TB3898	DNA373	SRR10397263	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3898/TB3898.SRR10397263.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3898/TB3898.SRR10397263.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3898/TB3898.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB3898.HybridAsm.fasta
TB7340	DNA146	SRR10380093	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB7340/TB7340.SRR10380093.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB7340/TB7340.SRR10380093.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB7340/TB7340.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB7340.HybridAsm.fasta
TB6977	DNA0530	SRR10380218	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6977/TB6977.SRR10380218.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6977/TB6977.SRR10380218.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6977/TB6977.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB6977.HybridAsm.fasta
TB3305	DNA594	SRR10397175	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3305/TB3305.SRR10397175.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3305/TB3305.SRR10397175.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3305/TB3305.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB3305.HybridAsm.fasta
TB3706	DNA621	SRR10397096	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3706/TB3706.SRR10397096.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3706/TB3706.SRR10397096.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB3706/TB3706.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB3706.HybridAsm.fasta
TB6755	DNA0432	SRR10379935	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6755/TB6755.SRR10379935.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6755/TB6755.SRR10379935.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6755/TB6755.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB6755.HybridAsm.fasta
TB7044	DNA246	SRR10380192	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB7044/TB7044.SRR10380192.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB7044/TB7044.SRR10380192.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB7044/TB7044.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB7044.HybridAsm.fasta
TB6765	DNA0441	SRR10379924	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6765/TB6765.SRR10379924.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6765/TB6765.SRR10379924.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6765/TB6765.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB6765.HybridAsm.fasta
TB6552	DNA199	SRR10380108	TBPortals_2022_PassQC	PutativeRecomb	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6552/TB6552.SRR10380108.IlluminaPE.R1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6552/TB6552.SRR10380108.IlluminaPE.R2.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.WGSData/TB6552/TB6552.PacBioCCS.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/250725.TBP2022.FinalSet_29CI.WGSData/TBP22.HybridAsms/TB6552.HybridAsm.fasta
