EventID	Verification_IsolateID	Control_IsolateID	Verfication_SRWGS_RunID	Control_SRWGS_RunID
Event_001	TB6733	TB3898	SRR10379945	SRR10397263
Event_003	TB6599	TB6977	SRR10379958	SRR10380218
Event_006	TB3305	TB3706	SRR10397175	SRR10397096
Event_007	TB6755	TB7044	SRR10379935	SRR10380192
Event_010	TB6552	TB6765	SRR10380108	SRR10379924
Event_011	TB6778	TB6973	SRR10380252	SRR10380223
Event_013	TB6786	TB3256	SRR10380244	SRR10397205
Event_019	TB6977	TB6976	SRR10380218	SRR10380219
Event_021	TB3572	TB6976	SRR10397163	SRR10380219
Event_022	TB6596	TB8073	SRR10379961	SRR10380026
Event_024	TB7340	TB6807	SRR10380093	SRR10379998
Event_025	TB6846	TB4414	SRR10379893	SRR10430399
