RunID	SampleName	LineageCall_Illumina	F2_Illumina	IlluminaWGSToH37rv_AvrgCov	PrimaryLineage_Ill	Dataset_Tag
SRR10397218	SRR10397218	lineage4,lineage4.2,lineage4.2.1	0.024989841527834213	58	lineage4	TBP_TGen_1K
SRR10397230	SRR10397230	lineage4,lineage4.2,lineage4.2.1	0.024843260188087773	93	lineage4	TBP_TGen_1K
SRR7516345	SRR7516345	lineage4,lineage4.2,lineage4.2.1	0.023240459527267925	54	lineage4	TBP_TGen_1K
SRR10379936	SRR10379936	lineage4,lineage4.1	0.022834762045521727	98	lineage4	TBP_TGen_1K
SRR7516429	SRR7516429	lineage4,lineage4.2,lineage4.2.1	0.022705992509363296	46	lineage4	TBP_TGen_1K
SRR10380194	SRR10380194	lineage2,lineage2.2,lineage2.2.1	0.022567338024751277	125	lineage2	TBP_TGen_1K
SRR10397215	SRR10397215	lineage4,lineage4.2,lineage4.2.1	0.022007209258205276	39	lineage4	TBP_TGen_1K
SRR10380252	SRR10380252	lineage4,lineage4.2,lineage4.2.1	0.021078956770275097	37	lineage4	TBP_TGen_1K
SRR10380056	SRR10380056	lineage4,lineage4.2,lineage4.2.1	0.020787929589270747	72	lineage4	TBP_TGen_1K
SRR6807671	SRR6807671	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.020629557175884758	67	lineage4	TBP_TGen_1K
SRR10397181	SRR10397181	lineage4,lineage4.2,lineage4.2.1	0.020548682087143624	114	lineage4	TBP_TGen_1K
SRR10380083	SRR10380083	lineage4,lineage4.2,lineage4.2.1	0.020493115593980142	41	lineage4	TBP_TGen_1K
SRR10380134	SRR10380134	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.019463087248322148	53	lineage4	TBP_TGen_1K
SRR6807669	SRR6807669	lineage4,lineage4.2,lineage4.2.1	0.019377729257641918	44	lineage4	TBP_TGen_1K
SRR10379962	SRR10379962	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.0191866527632951	58	lineage4	TBP_TGen_1K
SRR10379974	SRR10379974	lineage2,lineage2.2,lineage2.2.1	0.01908795188117596	82	lineage2	TBP_TGen_1K
SRR6807728	SRR6807728	lineage4,lineage4.1,lineage4.1.2	0.0190138875943704	77	lineage4	TBP_TGen_1K
SRR10380080	SRR10380080	lineage4,lineage4.2,lineage4.2.1	0.019013666072489603	42	lineage4	TBP_TGen_1K
SRR6807714	SRR6807714	lineage4,lineage4.2,lineage4.2.1	0.018725099601593624	38	lineage4	TBP_TGen_1K
SRR10397202	SRR10397202	lineage4,lineage4.2,lineage4.2.1	0.018691588785046728	94	lineage4	TBP_TGen_1K
SRR10379919	SRR10379919	lineageBOV,lineageBOV_AFRI	0.01854615220635259	115	lineageBOV	TBP_TGen_1K
SRR10380030	SRR10380030	lineage2,lineage2.2,lineage2.2.1	0.01836110166609996	66	lineage2	TBP_TGen_1K
SRR10380038	SRR10380038	lineage4,lineage4.2,lineage4.2.1	0.01834407535944472	87	lineage4	TBP_TGen_1K
SRR6807748	SRR6807748	lineage4,lineage4.2,lineage4.2.1	0.018243243243243244	43	lineage4	TBP_TGen_1K
SRR6357008	SRR6357008	lineage4,lineage4.2,lineage4.2.1	0.01821748878923767	88	lineage4	TBP_TGen_1K
SRR10380230	SRR10380230	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.018059596669007725	120	lineage4	TBP_TGen_1K
SRR6807683	SRR6807683	lineage4,lineage4.2,lineage4.2.1	0.01804257528556594	55	lineage4	TBP_TGen_1K
SRR10397257	SRR10397257	lineage4,lineage4.2,lineage4.2.1	0.018022724304557917	93	lineage4	TBP_TGen_1K
SRR6356949	SRR6356949	lineage4,lineage4.2,lineage4.2.1	0.017754365427763145	123	lineage4	TBP_TGen_1K
SRR10380192	SRR10380192	lineage4,lineage4.2,lineage4.2.1	0.017690283951737273	81	lineage4	TBP_TGen_1K
SRR10380195	SRR10380195	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.017522245037645448	88	lineage4	TBP_TGen_1K
SRR10379954	SRR10379954	lineage4,lineage4.2,lineage4.2.1	0.017346226697238558	119	lineage4	TBP_TGen_1K
SRR6807704	SRR6807704	lineage4,lineage4.2,lineage4.2.1	0.01730674138783583	71	lineage4	TBP_TGen_1K
SRR10380090	SRR10380090	lineage4,lineage4.2,lineage4.2.1	0.017226017226017225	42	lineage4	TBP_TGen_1K
SRR10430327	SRR10430327	lineageBOV,lineageBOV_AFRI	0.017135996507312814	93	lineageBOV	TBP_TGen_1K
SRR10397120	SRR10397120	lineage2,lineage2.2,lineage2.2.1	0.01710296684118674	37	lineage2	TBP_TGen_1K
SRR7516417	SRR7516417	lineage4,lineage4.2,lineage4.2.1	0.01694031795673703	46	lineage4	TBP_TGen_1K
SRR10379883	SRR10379883	lineage4,lineage4.2,lineage4.2.1	0.01688609044075558	43	lineage4	TBP_TGen_1K
SRR10380012	SRR10380012	lineage4,lineage4.2,lineage4.2.1	0.016851317381994232	114	lineage4	TBP_TGen_1K
SRR10380001	SRR10380001	lineage4,lineage4.2,lineage4.2.1	0.016791044776119403	114	lineage4	TBP_TGen_1K
SRR10380210	SRR10380210	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.01678525816456851	67	lineage4	TBP_TGen_1K
SRR10380198	SRR10380198	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.01662663957140218	65	lineage4	TBP_TGen_1K
SRR10380108	SRR10380108	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.0164756446991404	85	lineage4	TBP_TGen_1K
SRR10380018	SRR10380018	lineage4,lineage4.2,lineage4.2.1	0.016405747372935882	66	lineage4	TBP_TGen_1K
SRR10379942	SRR10379942	lineage4,lineage4.2,lineage4.2.1	0.016381418092909536	49	lineage4	TBP_TGen_1K
SRR10397149	SRR10397149	lineage2,lineage2.2,lineage2.2.1	0.016286644951140062	37	lineage2	TBP_TGen_1K
SRR10380060	SRR10380060	lineage4,lineage4.2,lineage4.2.1	0.016236306729264474	40	lineage4	TBP_TGen_1K
SRR10380094	SRR10380094	lineage4,lineage4.2,lineage4.2.1	0.016205435053602592	49	lineage4	TBP_TGen_1K
SRR10379888	SRR10379888	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.016150943396226414	81	lineage4	TBP_TGen_1K
SRR10397273	SRR10397273	lineage2,lineage2.2,lineage2.2.1	0.016087516087516088	40	lineage2	TBP_TGen_1K
SRR6807711	SRR6807711	lineage4,lineage4.2,lineage4.2.1	0.016062683643486782	39	lineage4	TBP_TGen_1K
SRR10379976	SRR10379976	lineage4,lineage4.2,lineage4.2.1	0.016052720513687058	45	lineage4	TBP_TGen_1K
SRR10397254	SRR10397254	lineage4,lineage4.2,lineage4.2.1	0.01600328272466147	36	lineage4	TBP_TGen_1K
SRR10380206	SRR10380206	lineage4,lineage4.2,lineage4.2.1	0.015879163439194422	74	lineage4	TBP_TGen_1K
SRR10379998	SRR10379998	lineage4,lineage4.2,lineage4.2.1	0.015852613538988862	67	lineage4	TBP_TGen_1K
SRR10380041	SRR10380041	lineage4,lineage4.2,lineage4.2.1	0.01584892935424043	44	lineage4	TBP_TGen_1K
SRR10380028	SRR10380028	lineage4,lineage4.2,lineage4.2.1	0.015843210890740526	104	lineage4	TBP_TGen_1K
SRR6807689	SRR6807689	lineage4,lineage4.2,lineage4.2.1	0.015813686026451983	82	lineage4	TBP_TGen_1K
SRR10379900	SRR10379900	lineage4,lineage4.2,lineage4.2.1	0.015765383963383624	70	lineage4	TBP_TGen_1K
SRR10380251	SRR10380251	lineage4,lineage4.2,lineage4.2.1	0.015764222069910898	53	lineage4	TBP_TGen_1K
SRR10379903	SRR10379903	lineage4,lineage4.2,lineage4.2.1	0.015717092337917484	111	lineage4	TBP_TGen_1K
SRR10379889	SRR10379889	lineage4,lineage4.2,lineage4.2.1	0.015648397723869417	96	lineage4	TBP_TGen_1K
SRR6807687	SRR6807687	lineage4,lineage4.2,lineage4.2.1	0.015595989602673596	36	lineage4	TBP_TGen_1K
SRR10380223	SRR10380223	lineage4,lineage4.2,lineage4.2.1	0.01555663587749149	99	lineage4	TBP_TGen_1K
SRR6807700	SRR6807700	lineage4,lineage4.2,lineage4.2.1	0.015534754033061144	38	lineage4	TBP_TGen_1K
SRR10379935	SRR10379935	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.015490096495683087	49	lineage4	TBP_TGen_1K
SRR10379963	SRR10379963	lineage4,lineage4.2,lineage4.2.1	0.015454545454545457	56	lineage4	TBP_TGen_1K
SRR10397102	SRR10397102	lineage4,lineage4.3,lineage4.3.3	0.015370284117373078	44	lineage4	TBP_TGen_1K
SRR10380139	SRR10380139	lineage4,lineage4.2,lineage4.2.1	0.015330923594665338	59	lineage4	TBP_TGen_1K
SRR10380057	SRR10380057	lineage4,lineage4.2,lineage4.2.1	0.015323926566530116	48	lineage4	TBP_TGen_1K
SRR10380153	SRR10380153	lineage4,lineage4.2,lineage4.2.1	0.015295987286452125	61	lineage4	TBP_TGen_1K
SRR10380076	SRR10380076	lineage4,lineage4.2,lineage4.2.1	0.015284146172016119	51	lineage4	TBP_TGen_1K
SRR6807690	SRR6807690	lineage4,lineage4.2,lineage4.2.1	0.015222806531967894	44	lineage4	TBP_TGen_1K
SRR10397138	SRR10397138	lineage2,lineage2.2,lineage2.2.1	0.0151673640167364	43	lineage2	TBP_TGen_1K
SRR6807702	SRR6807702	lineage4,lineage4.2,lineage4.2.1	0.015146239554317547	43	lineage4	TBP_TGen_1K
SRR10430333	SRR10430333	lineage4,lineage4.2,lineage4.2.1	0.015080990504561534	67	lineage4	TBP_TGen_1K
SRR10397228	SRR10397228	lineage2,lineage2.2,lineage2.2.1	0.01505432648252389	123	lineage2	TBP_TGen_1K
SRR10397100	SRR10397100	lineage2,lineage2.2,lineage2.2.1	0.015030946065428825	42	lineage2	TBP_TGen_1K
SRR10379934	SRR10379934	lineage4,lineage4.2,lineage4.2.1	0.015023721665788088	48	lineage4	TBP_TGen_1K
SRR6807676	SRR6807676	lineage4,lineage4.2,lineage4.2.1	0.01502233049127081	38	lineage4	TBP_TGen_1K
SRR10380245	SRR10380245	lineage4,lineage4.2,lineage4.2.1	0.015008013988051872	49	lineage4	TBP_TGen_1K
SRR10430332	SRR10430332	lineage4,lineage4.5	0.015005637956457629	54	lineage4	TBP_TGen_1K
SRR10380212	SRR10380212	lineage4,lineage4.1,lineage4.1.2,lineage4.1.2.1	0.014910146747233776	153	lineage4	TBP_TGen_1K
SRR10397155	SRR10397155	lineage2,lineage2.2,lineage2.2.1	0.01481725386894962	39	lineage2	TBP_TGen_1K
SRR10397113	SRR10397113	lineage2,lineage2.2,lineage2.2.1	0.014812001519179644	36	lineage2	TBP_TGen_1K
SRR10379957	SRR10379957	lineage4,lineage4.2,lineage4.2.1	0.014769370597591456	55	lineage4	TBP_TGen_1K
SRR10379876	SRR10379876	lineage4,lineage4.2,lineage4.2.1	0.01476846057571965	49	lineage4	TBP_TGen_1K
SRR10380147	SRR10380147	lineage4,lineage4.2,lineage4.2.1	0.014693684085792157	61	lineage4	TBP_TGen_1K
SRR10397223	SRR10397223	lineage2,lineage2.2,lineage2.2.1	0.014621646065722037	41	lineage2	TBP_TGen_1K
SRR10379950	SRR10379950	lineage4,lineage4.2,lineage4.2.1	0.014599961066770488	38	lineage4	TBP_TGen_1K
SRR6807732	SRR6807732	lineage4,lineage4.2,lineage4.2.1	0.014532178395017541	99	lineage4	TBP_TGen_1K
SRR6807670	SRR6807670	lineage4,lineage4.2,lineage4.2.1	0.014496088357109988	53	lineage4	TBP_TGen_1K
