Locus	PEPPEs_MGEs_AndCoscolla
Rv3738c	Yes
Rv3812	Yes
Rv3873	Yes
Rv3872	Yes
Rv1087	Yes
Rv0096	Yes
Rv0109	Yes
Rv0151c	Yes
Rv0152c	Yes
Rv0304c	Yes
Rv0278c	Yes
Rv0305c	Yes
Rv0297	Yes
Rv0747	Yes
Rv0578c	Yes
Rv0833	Yes
Rv0834c	Yes
Rv0878c	Yes
Rv1430	Yes
Rv0977	Yes
Rv1067c	Yes
Rv1214c	Yes
Rv1325c	Yes
Rv1387	Yes
Rv1452c	Yes
Rv1548c	Yes
Rv1651c	Yes
Rv1759c	Yes
Rv1790	Yes
Rv1803c	Yes
Rv1809	Yes
Rv1840c	Yes
Rv1983	Yes
Rv2353c	Yes
Rv2490c	Yes
Rv2608	Yes
Rv2770c	Yes
Rv3097c	Yes
Rv3125c	Yes
Rv3344c	Yes
Rv3388	Yes
Rv3512	Yes
Rv3558	Yes
Rv0285	Yes
Rv0124	Yes
Rv0354c	Yes
Rv0159c	Yes
Rv0160c	Yes
Rv0286	Yes
Rv0280	Yes
Rv0256c	Yes
Rv0279c	Yes
Rv0335c	Yes
Rv0355c	Yes
Rv0388c	Yes
Rv0442c	Yes
Rv0453	Yes
Rv3622c	Yes
Rv0532	Yes
Rv1088	Yes
Rv0742	Yes
Rv0746	Yes
Rv0754	Yes
Rv0755c	Yes
Rv0832	Yes
Rv0872c	Yes
Rv0915c	Yes
Rv0916c	Yes
Rv0978c	Yes
Rv0980c	Yes
Rv1040c	Yes
Rv1039c	Yes
Rv1068c	Yes
Rv1089	Yes
Rv1091	Yes
Rv1135c	Yes
Rv1168c	Yes
Rv1169c	Yes
Rv1172c	Yes
Rv1196	Yes
Rv1195	Yes
Rv1243c	Yes
Rv2099c	Yes
Rv1361c	Yes
Rv2107	Yes
Rv1386	Yes
Rv1396c	Yes
Rv2126c	Yes
Rv1441c	Yes
Rv1450c	Yes
Rv1468c	Yes
Rv1646	Yes
Rv1705c	Yes
Rv1706c	Yes
Rv1788	Yes
Rv1768	Yes
Rv1753c	Yes
Rv1807	Yes
Rv1787	Yes
Rv1789	Yes
Rv1791	Yes
Rv1800	Yes
Rv1801	Yes
Rv1802	Yes
Rv1808	Yes
Rv1806	Yes
Rv1818c	Yes
Rv3135	Yes
Rv1917c	Yes
Rv1918c	Yes
Rv2098c	Yes
Rv2108	Yes
Rv2123	Yes
Rv2162c	Yes
Rv2328	Yes
Rv2340c	Yes
Rv2352c	Yes
Rv2356c	Yes
Rv2396	Yes
Rv2371	Yes
Rv2431c	Yes
Rv2408	Yes
Rv2430c	Yes
Rv2487c	Yes
Rv2519	Yes
Rv2591	Yes
Rv2615c	Yes
Rv2769c	Yes
Rv2634c	Yes
Rv2768c	Yes
Rv2741	Yes
Rv3892c	Yes
Rv3136	Yes
Rv2853	Yes
Rv2892c	Yes
Rv3425	Yes
Rv3347c	Yes
Rv3018A	Yes
Rv3018c	Yes
Rv3021c	Yes
Rv3022c	Yes
Rv3022A	Yes
Rv3144c	Yes
Rv3426	Yes
Rv3893c	Yes
Rv3159c	Yes
Rv3477	Yes
Rv3350c	Yes
Rv3343c	Yes
Rv3345c	Yes
Rv3367	Yes
Rv3595c	Yes
