EventID	Parent_Node	Child_Node	N_Sites	Total_Leaves	Total_Score_AllSites	Mean_Score	Median_Score	Score_per_Leaf	Score_per_Site	Score_per_Leaf_per_Site
Event_001	Node_148	Node_133	10	130	25	2.5	0.0	0.19230769230769232	2.5	0.019230769230769232
Event_002	Node_3	N1177	5	1	0	0.0	0.0	0.0	0.0	0.0
Event_003	Node_146	N0153	4	1	0	0.0	0.0	0.0	0.0	0.0
Event_004	Node_134	R27252	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_005	Node_4	Node_3	7	3	4	0.5714285714285714	1.0	1.3333333333333333	0.5714285714285714	0.19047619047619047
Event_006	Node_2	N0091	12	1	0	0.0	0.0	0.0	0.0	0.0
Event_007	Node_149	RW-TB008	16	1	0	0.0	0.0	0.0	0.0	0.0
Event_008	Node_36	Node_28	5	2	0	0.0	0.0	0.0	0.0	0.0
Event_009	Node_69	Node_67	4	3	0	0.0	0.0	0.0	0.0	0.0
Event_010	Node_4	Node_1	31	2	0	0.0	0.0	0.0	0.0	0.0
Event_011	Node_46	M0016737_0	4	1	0	0.0	0.0	0.0	0.0	0.0
Event_012	Node_48	Node_47	5	2	0	0.0	0.0	0.0	0.0	0.0
Event_013	Node_148	Node_147	6	15	8	1.3333333333333333	1.0	0.5333333333333333	1.3333333333333333	0.08888888888888889
Event_014	Node_143	mada_118	7	1	0	0.0	0.0	0.0	0.0	0.0
Event_015	Node_145	N0072	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_016	Node_143	Node_142	4	9	2	0.5	0.0	0.2222222222222222	0.5	0.05555555555555555
Event_017	Node_64	TB3251	16	1	0	0.0	0.0	0.0	0.0	0.0
Event_018	Node_28	R15311	14	1	0	0.0	0.0	0.0	0.0	0.0
Event_019	Node_20	R21770	16	1	0	0.0	0.0	0.0	0.0	0.0
Event_020	Node_41	Node_40	17	2	0	0.0	0.0	0.0	0.0	0.0
Event_021	Node_144	mada_1-10	18	1	0	0.0	0.0	0.0	0.0	0.0
Event_022	Node_53	mada_123	29	1	0	0.0	0.0	0.0	0.0	0.0
Event_023	Node_132	Node_131	25	61	4	0.16	0.0	0.06557377049180328	0.16	0.002622950819672131
Event_024	Node_138	mada_1-1	12	1	0	0.0	0.0	0.0	0.0	0.0
Event_025	Node_90	Node_88	4	3	0	0.0	0.0	0.0	0.0	0.0
Event_026	Node_59	01_R1134	7	1	0	0.0	0.0	0.0	0.0	0.0
Event_027	Node_46	TB4620	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_028	Node_36	Node_35	8	8	1	0.125	0.0	0.125	0.125	0.015625
Event_029	Node_62	Node_45	4	10	0	0.0	0.0	0.0	0.0	0.0
Event_030	Node_22	Node_21	4	2	0	0.0	0.0	0.0	0.0	0.0
Event_031	Node_50	Node_49	4	2	0	0.0	0.0	0.0	0.0	0.0
Event_032	Node_25	Node_24	6	7	0	0.0	0.0	0.0	0.0	0.0
Event_033	Node_17	TB3334	4	1	0	0.0	0.0	0.0	0.0	0.0
Event_034	Node_144	mada_1-10	10	1	0	0.0	0.0	0.0	0.0	0.0
Event_035	Node_34	M0010874_7	7	1	0	0.0	0.0	0.0	0.0	0.0
Event_036	Node_15	Node_14	6	2	0	0.0	0.0	0.0	0.0	0.0
Event_037	Node_65	Node_27	5	24	1	0.2	0.0	0.041666666666666664	0.2	0.008333333333333333
Event_038	Node_71	Node_70	7	6	1	0.14285714285714285	0.0	0.16666666666666666	0.14285714285714285	0.023809523809523808
Event_039	Node_30	TB3162	13	1	0	0.0	0.0	0.0	0.0	0.0
Event_040	Node_6	MT_0080	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_041	Node_25	M0017522_5	18	1	0	0.0	0.0	0.0	0.0	0.0
Event_042	Node_27	Node_5	6	2	0	0.0	0.0	0.0	0.0	0.0
Event_043	Node_138	mada_1-1	5	1	0	0.0	0.0	0.0	0.0	0.0
Event_044	Node_53	Node_52	4	5	0	0.0	0.0	0.0	0.0	0.0
Event_045	Node_54	mada_1-12	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_046	Node_36	Node_35	4	8	0	0.0	0.0	0.0	0.0	0.0
Event_047	Node_134	R27252	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_048	Node_60	Node_48	5	3	0	0.0	0.0	0.0	0.0	0.0
Event_049	Node_41	Node_40	7	2	0	0.0	0.0	0.0	0.0	0.0
Event_050	Node_4	Node_3	10	3	0	0.0	0.0	0.0	0.0	0.0
Event_051	Node_41	Node_40	5	2	0	0.0	0.0	0.0	0.0	0.0
Event_052	Node_57	Node_56	4	9	4	1.0	1.0	0.4444444444444444	1.0	0.1111111111111111
Event_053	Node_4	Node_1	5	2	0	0.0	0.0	0.0	0.0	0.0
Event_054	Node_69	Node_67	4	3	0	0.0	0.0	0.0	0.0	0.0
Event_055	Node_134	R23887	4	1	0	0.0	0.0	0.0	0.0	0.0
Event_056	Node_146	N0153	18	1	0	0.0	0.0	0.0	0.0	0.0
Event_057	Node_4	Node_3	7	3	0	0.0	0.0	0.0	0.0	0.0
Event_058	Node_144	mada_1-10	5	1	0	0.0	0.0	0.0	0.0	0.0
Event_059	Node_27	Node_5	6	2	0	0.0	0.0	0.0	0.0	0.0
Event_060	Node_53	mada_123	10	1	0	0.0	0.0	0.0	0.0	0.0
Event_061	Node_17	TB3334	10	1	0	0.0	0.0	0.0	0.0	0.0
Event_062	Node_64	TB3251	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_063	Node_89	S0256-08	7	1	0	0.0	0.0	0.0	0.0	0.0
Event_064	Node_149	RW-TB008	5	1	0	0.0	0.0	0.0	0.0	0.0
Event_065	Node_27	Node_5	4	2	0	0.0	0.0	0.0	0.0	0.0
Event_066	Node_143	mada_118	4	1	0	0.0	0.0	0.0	0.0	0.0
Event_067	Node_148	Node_133	5	130	6	1.2	1.0	0.046153846153846156	1.2	0.009230769230769232
Event_068	Node_71	N1274	6	1	0	0.0	0.0	0.0	0.0	0.0
Event_069	Node_145	Node_144	5	11	0	0.0	0.0	0.0	0.0	0.0
Event_070	Node_57	TB2968	5	1	0	0.0	0.0	0.0	0.0	0.0
Event_071	Node_25	M0017522_5	13	1	0	0.0	0.0	0.0	0.0	0.0
Event_072	Node_146	N0153	4	1	0	0.0	0.0	0.0	0.0	0.0
Event_073	Node_65	Node_27	7	24	1	0.14285714285714285	0.0	0.041666666666666664	0.14285714285714285	0.005952380952380952
Event_074	Node_33	QC-7	9	1	0	0.0	0.0	0.0	0.0	0.0
Event_075	Node_1	N1272	4	1	0	0.0	0.0	0.0	0.0	0.0
Event_076	Node_148	Node_147	7	15	1	0.14285714285714285	0.0	0.06666666666666667	0.14285714285714285	0.009523809523809525
Event_077	Node_63	Node_36	6	10	4	0.6666666666666666	1.0	0.4	0.6666666666666666	0.06666666666666667
