SampleID	ONT_FQ_PATH	Illumina_PE_FQs_PATH	Dataset_Tag
9050-05	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/9050-05/ONT_LR/SRR14196816_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/9050-05/Illumina_SR/SRR14196817_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/9050-05/Illumina_SR/SRR14196817_2.fastq.gz	Peker2021
8644-04	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/8644-04/ONT_LR/SRR14196818_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/8644-04/Illumina_SR/SRR14196829_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/8644-04/Illumina_SR/SRR14196829_2.fastq.gz	Peker2021
QC-10	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-10/ONT_LR/SRR14196819_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-10/Illumina_SR/SRR14196820_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-10/Illumina_SR/SRR14196820_2.fastq.gz	Peker2021
QC-9	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-9/ONT_LR/SRR14196821_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-9/Illumina_SR/SRR14196822_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-9/Illumina_SR/SRR14196822_2.fastq.gz	Peker2021
QC-8	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-8/ONT_LR/SRR14196823_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-8/Illumina_SR/SRR14196824_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-8/Illumina_SR/SRR14196824_2.fastq.gz	Peker2021
QC-7	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-7/ONT_LR/SRR14196825_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-7/Illumina_SR/SRR14196826_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-7/Illumina_SR/SRR14196826_2.fastq.gz	Peker2021
QC-6	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-6/ONT_LR/SRR14196827_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-6/Illumina_SR/SRR14196828_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-6/Illumina_SR/SRR14196828_2.fastq.gz	Peker2021
QC-5	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-5/ONT_LR/SRR14196830_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-5/Illumina_SR/SRR14196831_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-5/Illumina_SR/SRR14196831_2.fastq.gz	Peker2021
QC-4	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-4/ONT_LR/SRR14196832_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-4/Illumina_SR/SRR14196833_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-4/Illumina_SR/SRR14196833_2.fastq.gz	Peker2021
QC-3	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-3/ONT_LR/SRR14196834_1.fastq.gz	/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-3/Illumina_SR/SRR14196835_1.fastq.gz;/n/data1/hms/dbmi/farhat/mm774/DownloadedData/220110_Peker2021_ONT/QC-3/Illumina_SR/SRR14196835_2.fastq.gz	Peker2021
