HasHmRegion	Symbol	Length	RelFreq_NS_Muts	RelFreq_NS_Mut_InEpitope	Total_NS_Muts	Total_NS_Muts_InEpitope	pGCE_Ovrlap	mGCE_Ovrlap
True	PPE60	1182	35.786802030456855	6.091370558375634	141.0	24.0	8	8
True	esxL	285	31.57894736842105	28.42105263157895	30.0	27.0	10	7
True	esxP	297	17.171717171717173	2.0202020202020203	17.0	2.0	9	9
True	PPE18	1176	15.56122448979592	11.224489795918368	61.0	44.0	8	7
True	PPE19	1191	15.365239294710328	2.267002518891688	61.0	9.0	5	5
False	Rv0010c	426	6.338028169014084	1.4084507042253522	9.0	2.0	0	0
False	esxH	291	3.0927835051546397	3.0927835051546397	3.0	3.0	0	0
False	esxB	303	2.9702970297029703	2.9702970297029703	3.0	3.0	0	0
False	Rv2660c	228	2.631578947368421	1.3157894736842104	2.0	1.0	0	0
False	rimJ	612	2.450980392156863	0.4901960784313726	5.0	1.0	0	0
