Locus	PEPPEs_AndCoscolla
Rv3738c	Yes
Rv3812	Yes
Rv3873	Yes
Rv3872	Yes
Rv1087	Yes
Rv0096	Yes
Rv0109	Yes
Rv0151c	Yes
Rv0152c	Yes
Rv0304c	Yes
Rv0278c	Yes
Rv0305c	Yes
Rv0297	Yes
Rv0747	Yes
Rv0578c	Yes
Rv0833	Yes
Rv0834c	Yes
Rv0878c	Yes
Rv1430	Yes
Rv0977	Yes
Rv1067c	Yes
Rv1214c	Yes
Rv1325c	Yes
Rv1387	Yes
Rv1452c	Yes
Rv1548c	Yes
Rv1651c	Yes
Rv1759c	Yes
Rv1790	Yes
Rv1803c	Yes
Rv1809	Yes
Rv1840c	Yes
Rv1983	Yes
Rv2353c	Yes
Rv2490c	Yes
Rv2608	Yes
Rv2770c	Yes
Rv3097c	Yes
Rv3125c	Yes
Rv3344c	Yes
Rv3388	Yes
Rv3512	Yes
Rv3558	Yes
Rv0285	Yes
Rv0124	Yes
Rv0354c	Yes
Rv0159c	Yes
Rv0160c	Yes
Rv0286	Yes
Rv0280	Yes
Rv0256c	Yes
Rv0279c	Yes
Rv0335c	Yes
Rv0355c	Yes
Rv0388c	Yes
Rv0442c	Yes
Rv0453	Yes
Rv3622c	Yes
Rv0532	Yes
Rv1088	Yes
Rv0742	Yes
Rv0746	Yes
Rv0754	Yes
Rv0755c	Yes
Rv0832	Yes
Rv0872c	Yes
Rv0915c	Yes
Rv0916c	Yes
Rv0978c	Yes
Rv0980c	Yes
Rv1040c	Yes
Rv1039c	Yes
Rv1068c	Yes
Rv1089	Yes
Rv1091	Yes
Rv1135c	Yes
Rv1168c	Yes
Rv1169c	Yes
Rv1172c	Yes
Rv1196	Yes
Rv1195	Yes
Rv1243c	Yes
Rv2099c	Yes
Rv1361c	Yes
Rv2107	Yes
Rv1386	Yes
Rv1396c	Yes
Rv2126c	Yes
Rv1441c	Yes
Rv1450c	Yes
Rv1468c	Yes
Rv1646	Yes
Rv1705c	Yes
Rv1706c	Yes
Rv1788	Yes
Rv1768	Yes
Rv1753c	Yes
Rv1807	Yes
Rv1787	Yes
Rv1789	Yes
Rv1791	Yes
Rv1800	Yes
Rv1801	Yes
Rv1802	Yes
Rv1808	Yes
Rv1806	Yes
Rv1818c	Yes
Rv3135	Yes
Rv1917c	Yes
Rv1918c	Yes
Rv2098c	Yes
Rv2108	Yes
Rv2123	Yes
Rv2162c	Yes
Rv2328	Yes
Rv2340c	Yes
Rv2352c	Yes
Rv2356c	Yes
Rv2396	Yes
Rv2371	Yes
Rv2431c	Yes
Rv2408	Yes
Rv2430c	Yes
Rv2487c	Yes
Rv2519	Yes
Rv2591	Yes
Rv2615c	Yes
Rv2769c	Yes
Rv2634c	Yes
Rv2768c	Yes
Rv2741	Yes
Rv3892c	Yes
Rv3136	Yes
Rv2853	Yes
Rv2892c	Yes
Rv3425	Yes
Rv3347c	Yes
Rv3018A	Yes
Rv3018c	Yes
Rv3021c	Yes
Rv3022c	Yes
Rv3022A	Yes
Rv3144c	Yes
Rv3426	Yes
Rv3893c	Yes
Rv3159c	Yes
Rv3477	Yes
Rv3350c	Yes
Rv3343c	Yes
Rv3345c	Yes
Rv3367	Yes
Rv3595c	Yes
Rv3429	Yes
Rv3533c	Yes
Rv3478	Yes
Rv3746c	Yes
Rv3507	Yes
Rv3508	Yes
Rv3511	Yes
Rv3532	Yes
Rv3514	Yes
Rv3539	Yes
Rv3590c	Yes
Rv3621c	Yes
Rv3650	Yes
Rv3652	Yes
Rv3653	Yes
Rv3739c	Yes
Rv0094c	Yes
Rv0095c	Yes
Rv0257	Yes
Rv0277c	Yes
Rv0353	Yes
Rv0393	Yes
Rv0397	Yes
Rv0487	Yes
Rv0490	Yes
Rv0538	Yes
Rv0740	Yes
Rv0750	Yes
Rv0797	Yes
Rv0814c	Yes
Rv0823c	Yes
Rv0829	Yes
Rv0867c	Yes
Rv1036c	Yes
Rv1037c	Yes
Rv1038c	Yes
Rv1041c	Yes
Rv1148c	Yes
Rv1173	Yes
Rv1197	Yes
Rv1198	Yes
Rv1288	Yes
Rv1295	Yes
Rv1318c	Yes
Rv1319c	Yes
Rv1458c	Yes
Rv1489A	Yes
Rv1493	Yes
Rv1587c	Yes
Rv1588c	Yes
Rv1765c	Yes
Rv1793	Yes
Rv1829	Yes
Rv1910c	Yes
Rv1911c	Yes
Rv2015c	Yes
Rv2048c	Yes
Rv2082	Yes
Rv2090	Yes
Rv2112c	Yes
Rv2196	Yes
Rv2258c	Yes
Rv2277c	Yes
Rv2346c	Yes
Rv2347c	Yes
Rv2512c	Yes
Rv2543	Yes
Rv2544	Yes
Rv2665	Yes
Rv2666	Yes
Rv2673	Yes
Rv2680	Yes
Rv2689c	Yes
Rv2774c	Yes
Rv2805	Yes
Rv2807	Yes
Rv2825c	Yes
Rv2828c	Yes
Rv2859c	Yes
Rv2882c	Yes
Rv2931	Yes
Rv2932	Yes
Rv2977c	Yes
Rv2980	Yes
Rv3281	Yes
Rv3346c	Yes
Rv3355c	Yes
Rv3424c	Yes
Rv3513c	Yes
Rv3515c	Yes
Rv3611	Yes
Rv3619c	Yes
Rv3620c	Yes
Rv3639c	Yes
Rv3680	Yes
Rv3710	Yes
Rv3826	Yes
Rv3876	Yes
