H37rv_GeneID	Symbol	N_Pos	N_Neg	Total	Antigen_LVL2	HasHmRegion	AntigenLVL2_And_HHR_Comb
Rv1196	PPE18	27	56	83	True	True	Antigen-HHR
Rv0288	esxH	23	3	26	True	False	Antigen-Unq
Rv3874	esxB	21	2	23	True	False	Antigen-Unq
Rv3875	esxA	19	3	22	True	False	Antigen-Unq
Rv1361c	PPE19	16	21	37	True	True	Antigen-HHR
Rv2608	PPE42	16	106	122	True	False	Antigen-Unq
Rv1886c	fbpB	16	56	72	True	False	Antigen-Unq
Rv3804c	fbpA	13	65	78	True	False	Antigen-Unq
Rv3620c	esxW	12	7	19	True	True	Antigen-HHR
Rv1038c	esxJ	11	7	18	True	True	Antigen-HHR
Rv2347c	esxP	10	6	16	True	True	Antigen-HHR
Rv1197	esxK	10	6	16	True	True	Antigen-HHR
Rv3619c	esxV	10	9	19	True	True	Antigen-HHR
Rv1792	esxM	10	5	15	True	True	Antigen-HHR
Rv1037c	esxI	10	9	19	True	True	Antigen-HHR
Rv2346c	esxO	9	1	10	True	True	Antigen-HHR
Rv1198	esxL	9	7	16	True	True	Antigen-HHR
Rv1793	esxN	8	2	10	True	True	Antigen-HHR
Rv0284	eccC3	6	4	10	True	False	Antigen-Unq
Rv3873	PPE68	5	6	11	True	False	Antigen-Unq
Rv0290	eccD3	5	2	7	True	False	Antigen-Unq
Rv3478	PPE60	5	15	20	True	True	Antigen-HHR
Rv3115	Rv3115	3	5	8	True	True	Antigen-HHR
Rv1047	Rv1047	3	5	8	True	True	Antigen-HHR
Rv1199c	Rv1199c	3	5	8	True	True	Antigen-HHR
Rv3019c	esxR	3	0	3	True	False	Antigen-Unq
Rv3023c	Rv3023c	3	5	8	True	True	Antigen-HHR
Rv2512c	Rv2512c	3	5	8	True	True	Antigen-HHR
Rv3018c	PPE46	3	3	6	True	True	Antigen-HHR
Rv0276	Rv0276	3	2	5	True	False	Antigen-Unq
Rv0125	pepA	3	69	72	True	False	Antigen-Unq
Rv1195	PE13	2	0	2	True	True	Antigen-HHR
Rv0995	rimJ	2	3	5	True	False	Antigen-Unq
Rv0440	groEL2	2	6	8	True	False	Antigen-Unq
Rv0287	esxG	2	0	2	True	False	Antigen-Unq
Rv0010c	Rv0010c	2	4	6	True	False	Antigen-Unq
Rv0176	Rv0176	2	3	5	True	False	Antigen-Unq
Rv1565c	Rv1565c	2	8	10	True	False	Antigen-Unq
Rv1387	PPE20	2	6	8	True	False	Antigen-Unq
Rv3024c	trmU	2	3	5	True	False	Antigen-Unq
Rv3020c	esxS	2	0	2	True	False	Antigen-Unq
Rv1802	PPE30	2	5	7	True	False	Antigen-Unq
Rv1788	PE18	2	1	3	True	False	Antigen-Unq
Rv2660c	Rv2660c	2	12	14	True	False	Antigen-Unq
Rv1926c	mpt63	2	4	6	True	False	Antigen-Unq
Rv3615c	espC	2	0	2	True	False	Antigen-Unq
Rv3125c	PPE49	2	4	6	True	False	Antigen-Unq
Rv3136	PPE51	2	2	4	True	False	Antigen-Unq
Rv3330	dacB1	2	4	6	True	False	Antigen-Unq
Rv3796	Rv3796	2	4	6	True	False	Antigen-Unq
Rv3782	glfT1	2	3	5	True	False	Antigen-Unq
Rv3635	Rv3635	2	7	9	True	False	Antigen-Unq
Rv3818	Rv3818	2	6	8	True	False	Antigen-Unq
