EventID	start_0based	end_1based	Overlap_Genes	HomologTargetID	Hm_Overlap_Genes	Target_Start	Target_End	NumMatch_SNPs	Total_SNPs	P_SNPMatch	NumMatch_Kmers	Total_Kmers	P_KmerMatch	Dist_Event_To_Hm
Event_001	103599	104478	Rv0093c,Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	10	0.0	68	79	0.8608	1685150.5
Event_001	103599	104478	Rv0093c,Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	10	0.0	68	79	0.8608	631342.5
Event_002	103675	103930	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	5	0.0	0	46	0.0	1685386.5
Event_002	103675	103930	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	5	0.0	0	46	0.0	631106.5
Event_003	103822	103846	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	4	0.0	0	28	0.0	1685355.0
Event_003	103822	103846	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	4	0.0	0	28	0.0	631138.0
Event_004	103822	104065	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	6	0.0	0	50	0.0	1685245.5
Event_004	103822	104065	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	6	0.0	0	50	0.0	631247.5
Event_005	103822	104712	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	7	0.0	11	72	0.1528	1684922.0
Event_005	103822	104712	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	7	0.0	11	72	0.1528	631571.0
Event_006	103822	104941	Rv0094c,Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	1	12	0.0833	76	109	0.6972	1684807.5
Event_006	103822	104941	Rv0094c,Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	1	12	0.0833	76	109	0.6972	631685.5
Event_007	103822	105000	Rv0094c,Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	5	16	0.3125	14	130	0.1077	631715.0
Event_007	103822	105000	Rv0094c,Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	4	16	0.25	7	130	0.0538	1684778.0
Event_008	103835	104283	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	5	0.0	0	40	0.0	1685130.0
Event_008	103835	104283	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	5	0.0	0	40	0.0	631363.0
Event_009	103835	104283	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	4	0.0	18	29	0.6207	1685130.0
Event_009	103835	104283	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	4	0.0	18	29	0.6207	631363.0
Event_010	103839	105045	Rv0094c,Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	20	31	0.6452	163	217	0.7512	1684747.0
Event_010	103839	105045	Rv0094c,Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	20	31	0.6452	159	217	0.7327	631746.0
Event_011	103878	104283	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	4	0.0	0	29	0.0	1685108.5
Event_011	103878	104283	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	4	0.0	0	29	0.0	631384.5
Event_012	103878	104283	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	5	0.0	0	40	0.0	1685108.5
Event_012	103878	104283	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	5	0.0	0	40	0.0	631384.5
Event_013	103892	104034	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	6	0.0	0	56	0.0	1685226.0
Event_013	103892	104034	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	6	0.0	0	56	0.0	631267.0
Event_014	103991	104478	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	7	0.0	47	47	1.0	1684954.5
Event_014	103991	104478	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	7	0.0	47	47	1.0	631538.5
Event_015	103991	104478	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	6	0.0	34	45	0.7556	1684954.5
Event_015	103991	104478	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	6	0.0	34	45	0.7556	631538.5
Event_016	104064	104283	Rv0094c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	0	4	0.0	18	29	0.6207	1685015.5
Event_016	104064	104283	Rv0094c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	0	4	0.0	18	29	0.6207	631477.5
Event_017	104275	105063	Rv0094c,Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	12	16	0.75	75	121	0.6198	1684520.0
Event_017	104275	105063	Rv0094c,Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	12	16	0.75	75	121	0.6198	631973.0
Event_018	104766	104824	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	13	14	0.9286	46	68	0.6765	1684394.0
Event_018	104766	104824	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	13	14	0.9286	46	68	0.6765	632099.0
Event_019	104766	104838	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	14	16	0.875	43	82	0.5244	1684387.0
Event_019	104766	104838	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	14	16	0.875	43	82	0.5244	632106.0
Event_020	104766	104858	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	15	17	0.8824	52	90	0.5778	1684377.0
Event_020	104766	104858	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	15	17	0.8824	52	90	0.5778	632116.0
Event_021	104766	105011	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	16	18	0.8889	57	103	0.5534	1684300.5
Event_021	104766	105011	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	16	18	0.8889	53	103	0.5146	632192.5
Event_022	104766	105011	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	28	29	0.9655	127	144	0.8819	1684300.5
Event_022	104766	105011	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	28	29	0.9655	123	144	0.8542	632192.5
Event_023	104766	105045	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	24	25	0.96	106	153	0.6928	1684283.5
Event_023	104766	105045	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	24	25	0.96	102	153	0.6667	632209.5
Event_024	104770	104817	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	10	12	0.8333	15	57	0.2632	1684395.5
Event_024	104770	104817	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	10	12	0.8333	15	57	0.2632	632097.5
Event_025	104781	104943	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	4	4	1.0	0	29	0.0	1684327.0
Event_025	104781	104943	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	4	4	1.0	0	29	0.0	632166.0
Event_026	104781	104962	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	7	7	1.0	35	60	0.5833	1684317.5
Event_026	104781	104962	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	7	7	1.0	35	60	0.5833	632175.5
Event_027	104914	104944	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	6	6	1.0	22	34	0.6471	1684260.0
Event_027	104914	104944	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	6	6	1.0	22	34	0.6471	632233.0
Event_028	104914	105045	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	8	8	1.0	44	56	0.7857	1684209.5
Event_028	104914	105045	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	8	8	1.0	44	56	0.7857	632283.5
Event_029	104943	105050	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	3	4	0.75	15	37	0.4054	1684192.5
Event_029	104943	105050	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	3	4	0.75	11	37	0.2973	632300.5
Event_030	104961	105063	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	4	4	1.0	36	36	1.0	1684177.0
Event_030	104961	105063	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	4	4	1.0	36	36	1.0	632316.0
Event_031	105020	105063	Rv0095c	Rv1587c,Rv1588c-H37Rv-1788513-1789865	Rv1587c,Rv1588c	1788513	1789865	4	4	1.0	35	36	0.9722	1684147.5
Event_031	105020	105063	Rv0095c	Rv3466,Rv3467-H37Rv-3883535-3884921	Rv3466,Rv3467	3883535	3884921	4	4	1.0	35	36	0.9722	632345.5
Event_033	332725	332916	vapC25	PE_PGRS10,vapB31,vapC31-H37Rv-838485-841665	PE_PGRS10,vapB31,vapC31	838485	841665	4	4	1.0	38	38	1.0	507254.5
Event_034	332725	333086	vapC25	PE_PGRS10,vapB31,vapC31-H37Rv-838485-841665	PE_PGRS10,vapB31,vapC31	838485	841665	10	10	1.0	77	94	0.8191	507169.5
Event_035	333405	333441	vapB25,PE_PGRS3	PE_PGRS10,vapB31,vapC31-H37Rv-838485-841665	PE_PGRS10,vapB31,vapC31	838485	841665	7	7	1.0	40	40	1.0	506652.0
Event_036	334551	334577	PE_PGRS3	PE_PGRS4-H37Rv-336565-339142	PE_PGRS4	336565	339142	6	6	1.0	24	24	1.0	3289.5
Event_036	334551	334577	PE_PGRS3	PE_PGRS10,vapB31,vapC31-H37Rv-838485-841665	PE_PGRS10,vapB31,vapC31	838485	841665	3	6	0.5	3	24	0.125	505511.0
Event_037	338617	338792	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	4	5	0.8	14	14	1.0	3760.0
Event_037	338617	338792	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	3	5	0.6	3	14	0.2143	500961.5
Event_038	338647	338692	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	5	7	0.7143	7	32	0.2188	500996.5
Event_038	338647	338692	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	0	7	0.0	4	32	0.125	3725.0
Event_039	338718	338837	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	13	13	1.0	76	76	1.0	3833.0
Event_039	338718	338837	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	7	13	0.5385	24	76	0.3158	500888.5
Event_040	338718	338837	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	6	6	1.0	46	46	1.0	3833.0
Event_040	338718	338837	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	2	6	0.3333	14	46	0.3043	500888.5
Event_041	338718	338984	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	17	18	0.9444	87	102	0.8529	3906.5
Event_041	338718	338984	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	7	18	0.3889	16	102	0.1569	500815.0
Event_042	338767	338903	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	3	6	0.5	9	42	0.2143	3890.5
Event_042	338767	338903	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	1	6	0.1667	2	42	0.0476	500831.0
Event_043	338788	338837	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	5	5	1.0	24	24	1.0	3868.0
Event_043	338788	338837	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	3	5	0.6	3	24	0.125	500853.5
Event_044	338843	338903	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	0	4	0.0	0	34	0.0	3928.5
Event_044	338843	338903	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	0	4	0.0	0	34	0.0	500793.0
Event_045	338843	338963	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	1	6	0.1667	3	46	0.0652	3958.5
Event_045	338843	338963	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	1	6	0.1667	2	46	0.0435	500763.0
Event_046	338983	338998	PE_PGRS4	PE_PGRS3-H37Rv-333510-336379	PE_PGRS3	333510	336379	4	4	1.0	24	25	0.96	4046.0
Event_046	338983	338998	PE_PGRS4	PE_PGRS10-H37Rv-838485-840847	PE_PGRS10	838485	840847	2	4	0.5	0	25	0.0	500675.5
Event_047	473766	473971	Rv0393	Rv0397-H37Rv-475809-476177	Rv0397	475809	476177	6	6	1.0	47	47	1.0	2124.5
Event_048	473821	473971	Rv0393	Rv0397-H37Rv-475809-476177	Rv0397	475809	476177	5	5	1.0	36	36	1.0	2097.0
Event_049	475832	475971	Rv0397	Rv0393-H37Rv-473743-474099	Rv0393	473743	474099	4	7	0.5714	45	45	1.0	1980.5
Event_050	475958	476054	Rv0397	Rv0393-H37Rv-473743-474099	Rv0393	473743	474099	7	10	0.7	50	50	1.0	2085.0
Event_056	838642	838702	PE_PGRS10	PE_PGRS4-H37Rv-336565-339038	PE_PGRS4	336565	339038	15	18	0.8333	41	70	0.5857	500870.5
Event_056	838642	838702	PE_PGRS10	vapC25,vapB25,PE_PGRS3-H37Rv-332698-336275	vapC25,vapB25,PE_PGRS3	332698	336275	14	18	0.7778	31	70	0.4429	504185.5
Event_056	838642	838702	PE_PGRS10	PE_PGRS3-H37Rv-333603-336275	PE_PGRS3	333603	336275	14	18	0.7778	31	70	0.4429	503733.0
Event_056	838642	838702	PE_PGRS10	PE_PGRS12,PE_PGRS13-H37Rv-925071-927514	PE_PGRS12,PE_PGRS13	925071	927514	3	18	0.1667	3	70	0.0429	87620.5
Event_057	839097	839291	PE_PGRS10	vapC25,vapB25,PE_PGRS3-H37Rv-332698-336275	vapC25,vapB25,PE_PGRS3	332698	336275	3	7	0.4286	6	30	0.2	504707.5
Event_057	839097	839291	PE_PGRS10	PE_PGRS3-H37Rv-333603-336275	PE_PGRS3	333603	336275	3	7	0.4286	6	30	0.2	504255.0
Event_057	839097	839291	PE_PGRS10	PE_PGRS12,PE_PGRS13-H37Rv-925071-927514	PE_PGRS12,PE_PGRS13	925071	927514	3	7	0.4286	4	30	0.1333	87098.5
Event_057	839097	839291	PE_PGRS10	PE_PGRS13-H37Rv-925780-927514	PE_PGRS13	925780	927514	3	7	0.4286	4	30	0.1333	87453.0
Event_057	839097	839291	PE_PGRS10	PE_PGRS4-H37Rv-336565-339038	PE_PGRS4	336565	339038	1	7	0.1429	4	30	0.1333	501392.5
Event_057	839097	839291	PE_PGRS10	PE_PGRS54-H37Rv-3935705-3936438	PE_PGRS54	3935705	3936438	0	7	0.0	0	30	0.0	1314654.5
Event_057	839097	839291	PE_PGRS10	PE_PGRS57-H37Rv-3949543-3949970	PE_PGRS57	3949543	3949970	0	7	0.0	0	30	0.0	1300969.5
Event_058	839250	839291	PE_PGRS10	PE_PGRS12,PE_PGRS13-H37Rv-925071-927514	PE_PGRS12,PE_PGRS13	925071	927514	3	5	0.6	13	28	0.4643	87022.0
Event_058	839250	839291	PE_PGRS10	PE_PGRS13-H37Rv-925780-927514	PE_PGRS13	925780	927514	3	5	0.6	11	28	0.3929	87376.5
Event_058	839250	839291	PE_PGRS10	vapC25,vapB25,PE_PGRS3-H37Rv-332698-336275	vapC25,vapB25,PE_PGRS3	332698	336275	2	5	0.4	8	28	0.2857	504784.0
Event_058	839250	839291	PE_PGRS10	PE_PGRS3-H37Rv-333603-336275	PE_PGRS3	333603	336275	2	5	0.4	8	28	0.2857	504331.5
Event_058	839250	839291	PE_PGRS10	PE_PGRS57-H37Rv-3949543-3949970	PE_PGRS57	3949543	3949970	2	5	0.4	0	28	0.0	1301046.0
Event_058	839250	839291	PE_PGRS10	PE_PGRS4-H37Rv-336565-339038	PE_PGRS4	336565	339038	1	5	0.2	6	28	0.2143	501469.0
Event_058	839250	839291	PE_PGRS10	PE_PGRS54-H37Rv-3935705-3936438	PE_PGRS54	3935705	3936438	0	5	0.0	3	28	0.1071	1314731.0
Event_059	841376	841651	vapC31	vapC25,vapB25,PE_PGRS3-H37Rv-332698-336275	vapC25,vapB25,PE_PGRS3	332698	336275	6	6	1.0	44	46	0.9565	507027.0
Event_060	841376	841651	vapC31	vapC25,vapB25,PE_PGRS3-H37Rv-332698-336275	vapC25,vapB25,PE_PGRS3	332698	336275	10	10	1.0	69	76	0.9079	507027.0
Event_061	842025	842111	Rv0750	Rv0740-H37Rv-832044-832356	Rv0740	832044	832356	10	10	1.0	56	60	0.9333	9868.0
Event_062	842050	842065	Rv0750	Rv0740-H37Rv-832044-832356	Rv0740	832044	832356	6	6	1.0	21	25	0.84	9857.5
Event_063	842050	842111	Rv0750	Rv0740-H37Rv-832044-832356	Rv0740	832044	832356	7	7	1.0	32	36	0.8889	9880.5
Event_064	921812	921861	Rv0829	Rv2884,Rv2885c-H37Rv-3194137-3194451	Rv2884,Rv2885c	3194137	3194451	4	5	0.8	39	39	1.0	2139074.5
Event_064	921812	921861	Rv0829	Rv2791c-H37Rv-3100174-3100487	Rv2791c	3100174	3100487	2	5	0.4	5	39	0.1282	2178494.0
Event_064	921812	921861	Rv0829	thiL,Rv2978c-H37Rv-3333757-3334070	thiL,Rv2978c	3333757	3334070	2	5	0.4	5	39	0.1282	1999455.0
Event_065	921812	921861	Rv0829	Rv2884,Rv2885c-H37Rv-3194137-3194451	Rv2884,Rv2885c	3194137	3194451	3	4	0.75	28	28	1.0	2139074.5
Event_065	921812	921861	Rv0829	Rv2791c-H37Rv-3100174-3100487	Rv2791c	3100174	3100487	2	4	0.5	5	28	0.1786	2178494.0
Event_065	921812	921861	Rv0829	thiL,Rv2978c-H37Rv-3333757-3334070	thiL,Rv2978c	3333757	3334070	2	4	0.5	5	28	0.1786	1999455.0
Event_066	925785	925801	PE_PGRS13	PE_PGRS10-H37Rv-838571-840652	PE_PGRS10	838571	840652	1	4	0.25	0	3	0.0	86181.5
Event_066	925785	925801	PE_PGRS13	PE_PGRS10-H37Rv-838915-840652	PE_PGRS10	838915	840652	1	4	0.25	0	3	0.0	86009.5
Event_066	925785	925801	PE_PGRS13	PE_PGRS24-H37Rv-1489087-1489833	PE_PGRS24	1489087	1489833	1	4	0.25	0	3	0.0	563667.0
Event_067	1094139	1094415	PE_PGRS17	Rv0979c,rpmF,PE_PGRS18-H37Rv-1094827-1096687	Rv0979c,rpmF,PE_PGRS18	1094827	1096687	5	5	1.0	0	45	0.0	1480.0
Event_067	1094139	1094415	PE_PGRS17	PE_PGRS45-H37Rv-2944363-2945221	PE_PGRS45	2944363	2945221	0	5	0.0	45	45	1.0	1850515.0
