SampleID	Cohort	chrom	chromStart	chromEnd	name	score	zscore	af	Lifted	H37Rv_chrom	H37Rv_start	H37Rv_end	ClampFlags	overlaps_hotspot	overlaps_pr
TB3256	TBP22CI	TB3256	85618	85619	het_or_mismap	96	636.15784	0.21875	True	NC_000962.3	85572.0	85573.0		False	False
TB3256	TBP22CI	TB3256	2959439	2959440	het_or_mismap	96	604.35	0.20833333	True	NC_000962.3	2951361.0	2951362.0		False	False
TB3256	TBP22CI	TB3256	3847167	3847204	het_or_mismap	88	540.7342	0.20454545	True	NC_000962.3	3842424.0	3842461.0		True	True
TB3305	TBP22CI	TB3305	571106	571107	het_or_mismap	136	675.63995	0.22058824	True	NC_000962.3	572754.0	572755.0		False	False
TB3305	TBP22CI	TB3305	592597	592598	het_or_mismap	210	1514.3654	0.31428573	True	NC_000962.3	594269.0	594270.0		False	False
TB3305	TBP22CI	TB3305	3514091	3514092	het_or_mismap	165	1071.7047	0.28484848	True	NC_000962.3	3519124.0	3519125.0		False	False
TB3706	TBP22CI	TB3706	1197	1198	het_or_mismap	146	81.369934	0.39726028	True	NC_000962.3	1197.0	1198.0		False	False
TB3706	TBP22CI	TB3706	8107	8108	low_quality	195	157.0297	0.5692308	True	NC_000962.3	6749.0	6750.0		False	False
TB3706	TBP22CI	TB3706	25923	25924	het_or_mismap	109	74.23222	0.48623854	True	NC_000962.3	24566.0	24567.0		False	False
TB3706	TBP22CI	TB3706	37315	40360	het_or_mismap	126	72.80468	0.47706422	True	NC_000962.3	35977.0	38983.0		False	False
TB3706	TBP22CI	TB3706	71629	71630	het_or_mismap	156	102.78307	0.4679487	True	NC_000962.3	70115.0	70116.0		False	False
TB3706	TBP22CI	TB3706	86802	87270	het_or_mismap	128	72.80468	0.41269842	True	NC_000962.3	88699.0	89167.0		False	False
TB3706	TBP22CI	TB3706	96141	96142	low_quality	143	101.35554	0.5034965	True	NC_000962.3	98038.0	98039.0		False	False
TB3706	TBP22CI	TB3706	110651	110652	het_or_mismap	139	88.50765	0.4532374	True	NC_000962.3	112553.0	112554.0		False	False
TB3706	TBP22CI	TB3706	130748	130749	het_or_mismap	108	72.80468	0.4814815	True	NC_000962.3	132648.0	132649.0		False	False
TB3706	TBP22CI	TB3706	164656	164657	het_or_mismap	127	72.80468	0.40944883	True	NC_000962.3	166395.0	166396.0		False	False
TB3706	TBP22CI	TB3706	176884	176885	het_or_mismap	153	85.652565	0.39869282	True	NC_000962.3	178623.0	178624.0		False	False
TB3706	TBP22CI	TB3706	183126	183127	low_quality	123	95.64536	0.55284554	True	NC_000962.3	184865.0	184866.0		False	False
TB3706	TBP22CI	TB3706	195153	195154	het_or_mismap	152	88.50765	0.41447368	True	NC_000962.3	196890.0	196891.0		False	False
TB3706	TBP22CI	TB3706	263886	263887	het_or_mismap	147	72.80468	0.3537415	True	NC_000962.3	265620.0	265621.0		False	False
TB3706	TBP22CI	TB3706	310082	310084	deletion	94	32.568146	0.68085104	True	NC_000962.3	311825.0	311827.0		False	False
TB3706	TBP22CI	TB3706	310084	310085	het_or_mismap	158	89.935196	0.4050633	True	NC_000962.3	311827.0	311828.0		False	False
TB3706	TBP22CI	TB3706	336860	336866	simple_repeat	47	24.813826	1.0425532	False						
TB3706	TBP22CI	TB3706	367842	367843	het_or_mismap	162	78.51485	0.34567901	True	NC_000962.3	369442.0	369443.0		False	False
TB3706	TBP22CI	TB3706	453585	453586	low_quality	118	88.50765	0.5338983	True	NC_000962.3	455254.0	455255.0		False	False
TB3706	TBP22CI	TB3706	462736	462737	het_or_mismap	117	72.80468	0.44444445	True	NC_000962.3	464405.0	464406.0		False	False
TB3706	TBP22CI	TB3706	491664	491665	het_or_mismap	144	87.08011	0.43055555	True	NC_000962.3	493323.0	493324.0		False	False
TB3706	TBP22CI	TB3706	535428	535429	het_or_mismap	139	49.963997	0.2589928	True	NC_000962.3	537088.0	537089.0		False	False
TB3706	TBP22CI	TB3706	541319	541320	het_or_mismap	119	67.094505	0.40336135	True	NC_000962.3	542979.0	542980.0		False	False
TB3706	TBP22CI	TB3706	563673	563674	het_or_mismap	116	65.66697	0.4051724	True	NC_000962.3	565333.0	565334.0		False	False
TB3706	TBP22CI	TB3706	587467	587468	het_or_mismap	110	65.66697	0.42727274	True	NC_000962.3	589151.0	589152.0		False	False
TB3706	TBP22CI	TB3706	634909	634910	low_quality	108	78.51485	0.5185185	True	NC_000962.3	636509.0	636510.0		False	False
TB3706	TBP22CI	TB3706	682603	682604	low_quality	158	129.90639	0.5822785	True	NC_000962.3	684218.0	684219.0		False	False
TB3706	TBP22CI	TB3706	704043	705352	het_or_mismap	123	79.94239	0.4473684	True	NC_000962.3	705657.0	706966.0		False	False
TB3706	TBP22CI	TB3706	760073	770310	het_or_mismap	123	99.92799	0.4965035	True	NC_000962.3	761154.0	771391.0		False	False
TB3706	TBP22CI	TB3706	788479	788480	het_or_mismap	131	75.65977	0.41221374	True	NC_000962.3	789560.0	789561.0		False	False
