HmRegion_Num	Chr	Start	End	Center	Length	Overlap_Genes	NOvrlap_Transposase	num_HmAln_All	num_HmAln_PR_BelowSeqID100	num_HmAln_PR_MinSeqID99	HmRegionNum	HmRegionID	NOvrlap_IS6110_Label	PR_SetID	NPossible_SNPs_Total	NPossible_ParalogSNPs	NObserved_SNPs_Total	NObserved_SNPs_MatchParalogSNP	p_value	log_p_value	neglog_p_value	NExpected_MatchParalogSNP	p_corr	neglog_p_corr	NucDivHotspot_Ovrlap	FoldEnrichment	LogFoldEnrichment	Log2FoldEnrichment	AbsEnrichment	SizeFactor	Fraction_SNPs_MatchParalog
165	NC_000962.3	3710379	3712822	3711600.5	2443	Rv3325,Rv3326,Rv3327	3	15	1	0	165	PR_HmRegion_165	1	PR_Set_24	7329	1	17	4	0.0	500.0	500.0	0.0023195524628189385	1e-40	500.0	0	1724.4705882352941	3.2366557916427876	10.751937807738074	3.997680447537181	0.018604651162790697	0.23529411764705882
25	NC_000962.3	606510	608060	607285.0	1550	Rv0515,Rv0516c	0	1	1	0	25	PR_HmRegion_025	0	PR_Set_13	4650	1	10	3	0.0	500.0	500.0	0.002150537634408602	1e-40	500.0	0	1395.0	3.1445742076096166	10.44604940671655	2.9978494623655916	0.013953488372093023	0.3
44	NC_000962.3	1169296	1170733	1170014.5	1437	Rv1047	1	5	3	0	44	PR_HmRegion_044	0	PR_Set_30	4311	2	34	16	0.0	500.0	500.0	0.01577360241243331	1e-40	500.0	0	1014.3529411764705	3.0061890928035764	9.986344005928153	15.984226397587566	0.07441860465116279	0.47058823529411764
15	NC_000962.3	400151	401701	400926.0	1550	Rv0336	0	1	1	0	15	PR_HmRegion_015	0	PR_Set_13	4650	1	14	3	0.0	500.0	500.0	0.003010752688172043	1e-40	500.0	0	996.4285714285714	2.9984461719313784	9.960622579546309	2.996989247311828	0.013953488372093023	0.21428571428571427
158	NC_000962.3	3481324	3482760	3482042.0	1436	Rv3115	1	5	3	0	158	PR_HmRegion_158	0	PR_Set_30	4308	2	64	29	0.0	500.0	500.0	0.029712163416898793	1e-40	500.0	0	976.03125	2.9894637228770318	9.93078352967178	28.9702878365831	0.13488372093023257	0.453125
157	NC_000962.3	3381311	3382749	3382030.0	1438	Rv3023c	1	5	3	0	157	PR_HmRegion_157	0	PR_Set_30	4314	2	45	20	0.0	500.0	500.0	0.020862308762169678	1e-40	500.0	0	958.6666666666667	2.981667626991183	9.904885459718141	19.97913769123783	0.09302325581395349	0.4444444444444444
55	NC_000962.3	1341295	1342730	1342012.5	1435	Rv1199c	1	5	4	0	55	PR_HmRegion_055	0	PR_Set_30	4305	2	38	12	0.0	500.0	500.0	0.017653890824622532	1e-40	500.0	1	679.7368421052631	2.832340809556507	9.408832509561776	11.982346109175378	0.05581395348837209	0.3157894736842105
131	NC_000962.3	2982934	2983854	2983394.0	920	Rv2665,Rv2666	1	5	5	0	131	PR_HmRegion_131	0	PR_Set_30	2760	2	25	8	0.0	500.0	500.0	0.018115942028985508	1e-40	500.0	0	441.59999999999997	2.6450290647211423	8.786596361890807	7.981884057971015	0.037209302325581395	0.32
123	NC_000962.3	2828493	2829936	2829214.5	1443	Rv2512c	1	5	4	0	123	PR_HmRegion_123	0	PR_Set_30	4329	2	41	7	0.0	500.0	500.0	0.01894201894201894	1e-40	500.0	0	369.5487804878049	2.567671773443697	8.529621002651874	6.981057981057981	0.03255813953488372	0.17073170731707318
119	NC_000962.3	2720634	2721442	2721038.0	808	Rv2423,Rv2424c	1	1	1	1	119	PR_HmRegion_119	0	PR_Set_55	2424	13	20	18	0.0	500.0	500.0	0.10726072607260725	1e-40	500.0	0	167.81538461538463	2.224831772626737	7.3907311718868085	17.892739273927393	0.08372093023255814	0.9
107	NC_000962.3	2439139	2439948	2439543.5	809	pknL,Rv2177c	1	1	1	1	107	PR_HmRegion_107	0	PR_Set_55	2427	13	37	33	0.0	500.0	500.0	0.19818706221672847	1e-40	500.0	0	166.50935550935552	2.2214386398359904	7.379459428739545	32.801812937783275	0.15348837209302327	0.8918918918918919
86	NC_000962.3	2028425	2029242	2028833.5	817	PPE27	0	1	1	1	86	PR_HmRegion_086	0	PR_Set_49	2451	9	23	14	0.0	500.0	500.0	0.08445532435740515	1e-40	500.0	0	165.76811594202897	2.219501001473398	7.373022733425119	13.915544675642595	0.06511627906976744	0.6086956521739131
85	NC_000962.3	2025301	2026163	2025732.0	862	PPE25	0	1	1	1	85	PR_HmRegion_085	0	PR_Set_49	2586	9	36	19	0.0	500.0	500.0	0.12529002320185614	1e-40	500.0	0	151.64814814814815	2.180837111290592	7.244584070369215	18.874709976798144	0.08837209302325581	0.5277777777777778
142	NC_000962.3	3135787	3136351	3136069.0	564	Rv2828c,Rv2828A	0	1	1	1	142	PR_HmRegion_142	0	PR_Set_61	1692	8	70	50	0.0	500.0	500.0	0.3309692671394799	1e-40	500.0	1	151.07142857142858	2.1791823360328233	7.239087025949708	49.66903073286052	0.23255813953488372	0.7142857142857143
