Phylogeny	H37Rv gene	Name	Amino acids	Subfamily	PGRS	bicistronic partner	Comments
1.0	Rv3872	PE35	99.0	I		PPE68	
2.0	Rv3746c	PE34	111.0	I			"No PE sequence, YxxxD at reasonable position. Phyre --> A helix-turn-helix structure seems present, although the 2nd helix goes on longer then expected (beyond the YxxxD). Inconclusive whteher it is ""a true PE"""
3.0	Rv0285	PE5	102.0	II		PPE4	
4.0	Rv1386	PE15	102.0	II		PPE20	
5.0	Rv3893c	PE36	77.0	III		PPE69	Truncated due to a stop codon. Analyzing 3' genome sequence reveals YxxxE and stop codon at expected location
6.0	Rv2431c	PE25	99.0	III		PPE41	
7.0	Rv2107	PE22	98.0	IV		PPE36	
8.0	Rv1169c	LipX	100.0	IV		PPE17	PD instead of PE. YxxxD/E present. Phyre2 -->  Helixturn-helix --> A clear PE
9.0	Rv1806	PE20	99.0	IV		PPE31	
10.0	Rv1788	PE18	99.0	IV		PPE26	
11.0	Rv1791	PE19	99.0	IV			
12.0	Rv3622c	PE32	99.0	IV		PPE65	
13.0	Rv1195	PE13	99.0	IV		PPE18	
14.0	Rv3477	PE31	98.0	IV		PPE60	
15.0	Rv0916c	PE7	99.0	IV		PPE14	
16.0	Rv1040c	PE8	275.0	IV		PPE15	Specific C-terminal domain?
17.0	Rv2769c	PE27	275.0	IV		PPE43	Specific C-terminal domain?
18.0	Rv0152c	PE2	525.0	V			PFAM08237. Cutinase like. No PE sequence. Also no YxxxD/E found. No helix-turn-helix motif --> No PE
19.0	Rv2408c	PE24	239.0	V			
20.0	Rv1068c	PE_PGRS20	463.0	V	PGRS		
21.0	Rv1983	PE_PGRS35	558.0	V	PGRS		
22.0	Rv2519	PE26	492.0	V	PGRS		PGRS. Has a C-terminal domain, which may be a hydrolase. 
23.0	Rv0977	PE_PGRS16	923.0	V	PGRS		
24.0	Rv0160c	PE4	502.0	V			PD instead of PE. PE-like Helix-turn-helix structure, with a predicted Cutinase/Hydrolase domain afer the PE-domain (PF08237) 
25.0	Rv0159c	PE3	468.0	V			PE, with a hydrolase middle domain (PF08237). Homology with MSMEG_6394
26.0	Rv0754	PE_PGRS11	584.0	V	PGRS		
27.0	Rv2634c	PE_PGRS46	778.0	V	PGRS		
28.0	Rv3590c	PE_PGRS58	584.0	V	PGRS		
29.0	Rv1172c	PE12	308.0	V			
30.0	Rv2340c	PE_PGRS39	413.0	V	PGRS		
31.0	Rv2098	PE_PGRS36		V	PGRS		MGMmodified - Part of Rv2099c+98, PE21/PE_PGRS36 pairing
31.0	Rv2099c	PE21		V	PGRS		MGMmodified - Part of Rv2099c+98, PE21/PE_PGRS36 pairing
32.0	Rv0578c	PE_PGRS7	1306.0	V	PGRS		
33.0	Rv3595c	PE_PGRS59	439.0	V	PGRS		
34.0	Rv1468c	PE_PGRS29	370.0	V	PGRS		
35.0	Rv3511	PE_PGRS55		V	PGRS		MGMmodified - Part of Rv3511+12, PE_PGRS55/56 pairing
35.0	Rv3512	PE_PGRS56		V	PGRS		MGMmodified - Part of Rv3511+12, PE_PGRS55/56 pairing
36.0	Rv3514	PE_PGRS57	1489.0	V	PGRS		
37.0	Rv3508	PE_PGRS54	1901.0	V	PGRS		
38.0	Rv2371	PE_PGRS40	61.0	V			Likely pseudogene. No YxxxD/E detected in any of the reading frames when analyzin 3' genomic secuence. 
39.0	Rv1452c	PE_PGRS28	741.0	V	PGRS		
40.0	Rv1450c	PE_PGRS27	1329.0	V	PGRS		
41.0	Rv0980c	PE_PGRS18	457.0	V	PGRS		
42.0	Rv0978c	PE_PGRS17	331.0	V	PGRS		
43.0	Rv2615c	PE_PGRS45	461.0	V	PGRS		
