chrom	start	end	Length	Overlap_Genes
NC_000962.3	23172	23237	65	pstP
NC_000962.3	79498	79573	75	Rv0071
NC_000962.3	80180	80379	199	Rv0071
NC_000962.3	80458	80517	59	_
NC_000962.3	82165	82237	72	Rv0073
NC_000962.3	82371	82486	115	Rv0073
NC_000962.3	103701	104784	1083	Rv0094c
NC_000962.3	104829	104940	111	Rv0095c
NC_000962.3	104941	105136	195	Rv0095c
NC_000962.3	131784	131843	59	PE_PGRS1
NC_000962.3	149633	149759	126	PE_PGRS2
NC_000962.3	149824	149945	121	PE_PGRS2
NC_000962.3	150477	150527	50	PE_PGRS2
NC_000962.3	154108	154244	136	treS,mak
NC_000962.3	157277	157330	53	fbpC
NC_000962.3	157381	157432	51	fbpC
NC_000962.3	161525	161576	51	_
NC_000962.3	177093	177179	86	_
NC_000962.3	177224	177321	97	_
NC_000962.3	177336	177407	71	_
NC_000962.3	197076	197129	53	yrbE1A
NC_000962.3	197190	197310	120	yrbE1A
NC_000962.3	197836	198005	169	yrbE1B
NC_000962.3	198088	198169	81	yrbE1B
NC_000962.3	198476	198536	60	yrbE1B,mce1A
NC_000962.3	198960	199040	80	mce1A
NC_000962.3	199749	199831	82	mce1A
NC_000962.3	201951	202013	62	mce1C
NC_000962.3	253597	253665	68	pckA
NC_000962.3	267756	267811	55	Rv0223c
NC_000962.3	272847	272956	109	_
NC_000962.3	279524	279600	76	nrdB
NC_000962.3	293723	293791	68	_
NC_000962.3	294284	294336	52	fadE5
NC_000962.3	309083	309190	107	PPE2
NC_000962.3	309926	310109	183	Rv0257
NC_000962.3	332698	333140	442	vapC25
NC_000962.3	333156	333222	66	vapB25
NC_000962.3	333291	333405	114	vapB25
NC_000962.3	333507	333558	51	PE_PGRS3
NC_000962.3	333562	333640	78	PE_PGRS3
NC_000962.3	333954	334018	64	PE_PGRS3
NC_000962.3	334057	334118	61	PE_PGRS3
NC_000962.3	334129	334190	61	PE_PGRS3
NC_000962.3	334484	334534	50	PE_PGRS3
NC_000962.3	334554	334764	210	PE_PGRS3
NC_000962.3	334875	334937	62	PE_PGRS3
NC_000962.3	334954	335004	50	PE_PGRS3
NC_000962.3	335161	335216	55	PE_PGRS3
NC_000962.3	335506	335567	61	PE_PGRS3
NC_000962.3	335763	336163	400	PE_PGRS3
NC_000962.3	336176	336233	57	PE_PGRS3
NC_000962.3	336234	336384	150	PE_PGRS3
NC_000962.3	336620	336685	65	PE_PGRS4
NC_000962.3	336903	336967	64	PE_PGRS4
NC_000962.3	337491	337616	125	PE_PGRS4
NC_000962.3	338297	338347	50	PE_PGRS4
NC_000962.3	338390	338442	52	PE_PGRS4
NC_000962.3	338544	338789	245	PE_PGRS4
NC_000962.3	338792	338926	134	PE_PGRS4
NC_000962.3	338939	338996	57	PE_PGRS4
NC_000962.3	338997	339147	150	PE_PGRS4
NC_000962.3	339714	339821	107	PPE3
NC_000962.3	341204	341266	62	Rv0281
NC_000962.3	350295	350359	64	PPE4
NC_000962.3	351569	351658	89	esxG
NC_000962.3	351889	351939	50	esxH
NC_000962.3	361633	361725	92	PE_PGRS5
NC_000962.3	361739	361828	89	PE_PGRS5
NC_000962.3	366574	366704	130	PPE5
NC_000962.3	366715	366871	156	PPE5
NC_000962.3	366886	367007	121	PPE5
NC_000962.3	367014	367071	57	PPE5
NC_000962.3	367298	367369	71	PPE5
NC_000962.3	367878	367988	110	PPE5
NC_000962.3	367991	368041	50	PPE5
NC_000962.3	368154	368421	267	PPE5
NC_000962.3	368675	368798	123	PPE5
NC_000962.3	368859	368930	71	PPE5
NC_000962.3	369235	369329	94	PPE5
NC_000962.3	369358	369419	61	PPE5
NC_000962.3	369426	369647	221	PPE5
NC_000962.3	369660	369752	92	PPE5
NC_000962.3	369753	369823	70	PPE5
NC_000962.3	370557	370611	54	PPE5
NC_000962.3	370623	370673	50	PPE5
NC_000962.3	370677	371011	334	PPE5
NC_000962.3	371364	371480	116	PPE5
NC_000962.3	371910	372109	199	PPE5
NC_000962.3	372111	372299	188	PPE5
NC_000962.3	372326	372450	124	PPE5
NC_000962.3	372650	372740	90	PPE5
NC_000962.3	372776	372833	57	PPE6
NC_000962.3	373193	373248	55	PPE6
NC_000962.3	373279	373371	92	PPE6
