HmRegion_Num,Chr,Start,End,Center,Length,Overlap_Genes,NOvrlap_Transposase,num_HmAln_All,num_HmAln_PR_BelowSeqID100,num_HmAln_PR_MinSeqID99,HmRegionNum,HmRegionID,NOvrlap_IS6110_Label,PR_SetID,Norm_Donor_Count,N_Events_Mapped,N_Events_Putative,EventSkew,DonAccCt,EventSkew_Norm,GCE_FractionMapped,Num_PR_SNPs_All,Num_PR_SNPs_Unq
0,NC_000962.3,80184,80523,80353.5,339,Rv0071,0,1,1,1,0,PR_HmRegion_000,0,PR_Set_1,0.0,0,0,0.0,0.0,0.0,0.0,20,20
1,NC_000962.3,80623,82664,81643.5,2041,"Rv0072,Rv0073",0,1,1,1,1,PR_HmRegion_001,0,PR_Set_2,0.0,0,0,0.0,0.0,0.0,0.0,374,374
2,NC_000962.3,103705,105130,104417.5,1425,"Rv0094c,Rv0095c",0,2,2,2,2,PR_HmRegion_002,0,PR_Set_3,10.5,19,31,8.5,29.5,0.288135593220339,0.6129032258064516,68,68
3,NC_000962.3,149571,149808,149689.5,237,PE_PGRS2,0,1,1,1,3,PR_HmRegion_003,0,PR_Set_4,0.0,0,0,0.0,0.0,0.0,0.0,38,38
4,NC_000962.3,177203,177447,177325.0,244,_,0,1,1,1,4,PR_HmRegion_004,0,PR_Set_5,0.0,0,0,0.0,0.0,0.0,0.0,21,21
5,NC_000962.3,196950,204585,200767.5,7635,"yrbE1A,yrbE1B,mce1A,mce1B,mce1C,mce1D,lprK",0,1,1,1,5,PR_HmRegion_005,0,PR_Set_6,0.0,0,0,0.0,0.0,0.0,0.0,1589,1589
6,NC_000962.3,272850,272955,272902.5,105,_,0,1,1,1,6,PR_HmRegion_006,0,PR_Set_7,0.0,0,0,0.0,0.0,0.0,0.0,6,6
7,NC_000962.3,308996,309532,309264.0,536,PPE2,0,1,1,1,7,PR_HmRegion_007,0,PR_Set_8,0.0,0,0,0.0,0.0,0.0,0.0,109,109
8,NC_000962.3,309898,310101,309999.5,203,Rv0257,0,3,3,3,8,PR_HmRegion_008,0,PR_Set_9,0.0,0,0,0.0,0.0,0.0,0.0,44,34
9,NC_000962.3,332698,336379,334538.5,3681,"vapC25,vapB25,PE_PGRS3",0,4,4,4,9,PR_HmRegion_009,0,PR_Set_10_B,8.0,4,4,-4.0,12.0,-0.3333333333333333,1.0,1300,958
10,NC_000962.3,336565,339142,337853.5,2577,PE_PGRS4,0,2,2,2,10,PR_HmRegion_010,0,PR_Set_10_A,2.0,6,10,4.0,8.0,0.5,0.6,730,730
11,NC_000962.3,339372,339909,339640.5,537,PPE3,0,1,1,1,11,PR_HmRegion_011,0,PR_Set_8,0.0,0,0,0.0,0.0,0.0,0.0,109,109
12,NC_000962.3,361334,362020,361677.0,686,PE_PGRS5,0,1,1,1,12,PR_HmRegion_012,0,PR_Set_11,0.0,0,0,0.0,0.0,0.0,0.0,131,131
13,NC_000962.3,366432,368602,367517.0,2170,PPE5,0,1,1,1,13,PR_HmRegion_013,0,PR_Set_12,0.0,0,0,0.0,0.0,0.0,0.0,864,665
14,NC_000962.3,373173,375119,374146.0,1946,PPE6,0,1,1,1,14,PR_HmRegion_014,0,PR_Set_12,0.0,0,0,0.0,0.0,0.0,0.0,1452,960
15,NC_000962.3,400151,401701,400926.0,1550,Rv0336,0,1,1,0,15,PR_HmRegion_015,0,PR_Set_13,0.0,0,0,0.0,0.0,0.0,0.0,1,1
16,NC_000962.3,424843,425566,425204.5,723,PPE8,0,1,1,1,16,PR_HmRegion_016,0,PR_Set_14,0.0,0,0,0.0,0.0,0.0,0.0,139,139
17,NC_000962.3,433399,434095,433747.0,696,PPE8,0,1,1,1,17,PR_HmRegion_017,0,PR_Set_14,0.0,0,0,0.0,0.0,0.0,0.0,139,139
18,NC_000962.3,473743,474099,473921.0,356,Rv0393,0,1,1,1,18,PR_HmRegion_018,0,PR_Set_15,2.0,2,2,0.0,4.0,0.0,1.0,18,18
19,NC_000962.3,475809,476177,475993.0,368,Rv0397,0,1,1,1,19,PR_HmRegion_019,0,PR_Set_15,2.0,2,2,0.0,4.0,0.0,1.0,18,18
20,NC_000962.3,562306,562394,562350.0,88,Rv0471c,0,1,1,1,20,PR_HmRegion_020,0,PR_Set_16,0.0,0,0,0.0,0.0,0.0,0.0,0,0
24,NC_000962.3,580730,580814,580772.0,84,regX3,0,1,0,0,24,PR_HmRegion_024,0,PR_Set_18,0.0,0,0,0.0,0.0,0.0,0.0,0,0
25,NC_000962.3,606510,608060,607285.0,1550,"Rv0515,Rv0516c",0,1,1,0,25,PR_HmRegion_025,0,PR_Set_13,0.0,0,0,0.0,0.0,0.0,0.0,1,1
26,NC_000962.3,642713,642814,642763.5,101,fadD8,0,1,1,1,26,PR_HmRegion_026,0,PR_Set_19,0.0,0,0,0.0,0.0,0.0,0.0,4,4
28,NC_000962.3,701363,702728,702045.5,1365,"Rv0605,Rv0606",1,1,1,1,28,PR_HmRegion_028,0,PR_Set_20,0.0,0,0,0.0,0.0,0.0,0.0,229,229
29,NC_000962.3,718763,719929,719346.0,1166,Rv0628c,0,1,1,1,29,PR_HmRegion_029,0,PR_Set_21,0.0,0,0,0.0,0.0,0.0,0.0,168,168
30,NC_000962.3,832044,832356,832200.0,312,Rv0740,0,1,1,1,30,PR_HmRegion_030,0,PR_Set_22,3.0,0,0,-3.0,3.0,-1.0,0.0,11,11
31,NC_000962.3,835775,836519,836147.0,744,PE_PGRS9,0,2,2,2,31,PR_HmRegion_031,0,PR_Set_23,0.0,0,0,0.0,0.0,0.0,0.0,194,142
