HasHmRegion	Symbol	Length	RelFreq_NS_Muts	RelFreq_NS_Mut_InEpitope	Total_NS_Muts	Total_NS_Muts_InEpitope	pGCE_Ovrlap	mGCE_Ovrlap
True	PPE60	1182	35.786802030456855	6.091370558375634	141.0	24.0	8	8
True	esxL	285	31.57894736842105	28.42105263157895	30.0	27.0	10	7
True	esxP	297	17.171717171717173	2.0202020202020203	17.0	2.0	9	9
True	PPE18	1176	15.56122448979592	11.224489795918368	61.0	44.0	8	7
True	PPE19	1191	15.365239294710328	2.267002518891688	61.0	9.0	5	5
True	esxO	285	10.526315789473683	3.1578947368421053	10.0	3.0	5	5
True	esxN	285	8.421052631578947	1.0526315789473684	8.0	1.0	3	3
False	Rv0010c	426	6.338028169014084	1.4084507042253522	9.0	2.0	0	0
True	esxK	297	6.060606060606061	3.0303030303030307	6.0	3.0	5	3
True	Rv3115	1248	4.807692307692308	0.2403846153846153	20.0	1.0	0	0
