Chrom	Start	End	Middle	OverlapGenes	NucDiv_kb	NucDiv_ModZ	OvrlapWi_HmMapAln_PR	OvrlapWi_HmMapAln_LR	OvrlapWi_LowPmap	PLC_Mask_Ovrlap
NC_000962.3	103000	104000	103500.0	Rv0093c,Rv0094c	4.05131	18.81732968188685	1	0	1	1
NC_000962.3	104000	105000	104500.0	Rv0094c,Rv0095c	15.960599999999998	76.88014351232768	1	0	1	1
NC_000962.3	105000	106000	105500.0	Rv0095c,PPE1	3.37124	15.501701478890034	1	0	1	1
NC_000962.3	338000	339000	338500.0	PE_PGRS4	5.14383	24.14382566662089	1	0	1	1
NC_000962.3	1095000	1096000	1095500.0	rpmF,PE_PGRS18	3.10016	14.180072097696371	1	0	1	1
NC_000962.3	1096000	1097000	1096500.0	PE_PGRS18,mprA	4.87615	22.838772720044528	1	0	1	1
NC_000962.3	1276000	1277000	1276500.0	Rv1148c	13.222	63.52831297028486	1	0	1	1
NC_000962.3	1340000	1341000	1340500.0	PPE18,esxK	2.8402000000000003	12.912657408545181	1	0	1	1
NC_000962.3	1341000	1342000	1341500.0	esxL,Rv1199c	2.99955	13.689555895682595	1	0	1	1
NC_000962.3	1533000	1534000	1533500.0	PPE19,Rv1362c	2.5001	11.254526404620266	1	0	1	1
NC_000962.3	1634000	1635000	1634500.0	PE_PGRS27	9.037730000000002	43.12823118318432	1	0	1	1
NC_000962.3	1637000	1638000	1637500.0	PE_PGRS28	6.07394	28.67850437306194	1	0	1	1
NC_000962.3	1638000	1639000	1638500.0	PE_PGRS28,Rv1453	3.2590700000000004	14.954825399177432	1	0	1	1
NC_000962.3	1788000	1789000	1788500.0	Rv1586c,Rv1587c	2.28045	10.183639974123038	1	0	1	1
NC_000962.3	1789000	1790000	1789500.0	Rv1587c,Rv1588c	6.81367	32.285000249372956	1	0	1	1
NC_000962.3	2196000	2197000	2196500.0	Rv1945	3.58822	16.559570532790737	1	0	1	1
NC_000962.3	2262000	2263000	2262500.0	Rv2015c	2.3049	10.30284404070923	1	0	1	1
NC_000962.3	2338000	2339000	2338500.0	Rv2081c,Rv2082	2.55567	11.525453602174242	1	0	1	1
NC_000962.3	2339000	2340000	2339500.0	Rv2082	2.40884	10.809595397804072	0	0	1	1
NC_000962.3	2626000	2627000	2626500.0	esxO,esxP,Rv2348c	5.814609999999999	27.414161199736892	1	0	1	1
NC_000962.3	2867000	2868000	2867500.0	lppA,lppB,vapB18	7.69545	36.58404981315099	1	0	1	1
NC_000962.3	2944000	2945000	2944500.0	PE_PGRS45	2.87923	13.102945127107924	1	0	1	1
NC_000962.3	3135000	3136000	3135500.0	Rv2827c,Rv2828c	4.962000000000001	23.257327694131426	1	0	1	1
NC_000962.3	3730000	3731000	3730500.0	PPE54	3.3572	15.433250554764468	1	0	1	1
NC_000962.3	3732000	3733000	3732500.0	PPE54	4.22288	19.653805825207634	1	0	1	1
NC_000962.3	3735000	3736000	3735500.0	PPE54	2.55894	11.541396231938531	1	0	1	1
NC_000962.3	3746000	3747000	3746500.0	PPE55	3.00907	13.735969912611042	1	0	1	1
NC_000962.3	3750000	3751000	3750500.0	PPE55	6.3443700000000005	29.996964729990534	1	0	1	1
NC_000962.3	3842000	3843000	3842500.0	Rv3424c,PPE57	7.54143	35.83313732498717	1	0	1	1
NC_000962.3	3847000	3848000	3847500.0	PPE59,Rv3430c	3.82621	17.719872201782472	1	0	1	1
NC_000962.3	3883000	3884000	3883500.0	rmlC,Rv3466,Rv3467	6.68007	31.63364387735188	1	0	1	1
NC_000962.3	3895000	3896000	3895500.0	PPE60,Rv3479	5.05551	23.713228400326717	1	0	1	1
NC_000962.3	3932000	3933000	3932500.0	PE_PGRS54	3.94248	18.28673751147477	1	1	1	1
NC_000962.3	3934000	3935000	3934500.0	PE_PGRS54	4.92918	23.097316345854985	1	1	1	1
NC_000962.3	3943000	3944000	3943500.0	PE_PGRS56	3.09938	14.176269268578285	1	1	1	1
NC_000962.3	3947000	3948000	3947500.0	PE_PGRS57	3.92371	18.195225841543362	1	1	1	1
NC_000962.3	4254000	4255000	4254500.0	Rv3798,accD4	2.83769	12.900420099460051	1	0	1	1
