Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame	Lineage	BranchLen	Num_Tips_Downstream	Total_SNPs
N0072	328	36	292	4	391	3619	0.123288	0.013699	4411487	4408943	lineage1	295.04892	0.0	328
N0153	474	37	437	5	532	2672	0.084668	0.011442	4411231	4408758	lineage1	449.992706	0.0	474
TB3113	23	0	23	0	0	3600	0.0	0.0	4411528	4407912	lineage2	22.139233	0.0	23
TB1236	2	0	2	0	0	3425	0.0	0.0	4411510	4408070	lineage2	2.0159	0.0	2
TB2659	1	0	1	0	0	3425	0.0	0.0	4411517	4408077	lineage2	0.998527	0.0	1
TB2780	60	0	60	0	0	3386	0.0	0.0	4411529	4408129	lineage2	59.811184	0.0	60
TB1612	52	0	52	0	0	3386	0.0	0.0	4411482	4408082	lineage2	51.11982	0.0	52
TB2512	24	0	24	0	0	3600	0.0	0.0	4411528	4407912	lineage2	24.151926	0.0	24
TB2981	13	0	13	0	0	3600	0.0	0.0	4411528	4407912	lineage2	13.083561	0.0	13
TB3091	13	0	13	0	0	3386	0.0	0.0	4411509	4408109	lineage2	13.998928	0.0	13
M0003941_3	89	5	84	1	68	3644	0.059524	0.011905	4411515	4408115	lineage2	84.03952	0.0	89
TB3368	97	6	91	1	68	3470	0.065934	0.010989	4411501	4408101	lineage2	92.814522	0.0	97
N0145	48	0	48	0	0	3386	0.0	0.0	4411510	4408110	lineage2	48.464752	0.0	48
N0155	127	5	122	1	68	3504	0.040984	0.008197	4411526	4408126	lineage2	122.364632	0.0	127
TB2995	34	0	34	0	0	3600	0.0	0.0	4411525	4407909	lineage2	34.212437	0.0	34
TB3396	14	0	14	0	0	3386	0.0	0.0	4411504	4408104	lineage2	15.112317	0.0	14
N0004	219	43	176	3	965	2700	0.244318	0.017045	4411465	4409340	lineage3	178.656937	0.0	219
N1274	324	26	298	5	1215	2173	0.087248	0.016779	4411449	4409369	lineage3	306.055084	0.0	324
N0054	201	4	197	1	68	2188	0.020305	0.005076	4411464	4409339	lineage3	198.311584	0.0	201
02_R1179	141	0	141	0	0	2616	0.0	0.0	4411424	4408792	lineage4	141.633606	0.0	141
01_R1134	408	44	364	6	1222	3076	0.120879	0.016484	4411499	4409591	lineage4	373.621918	0.0	408
M0017522_5	373	91	282	7	1256	3789	0.322695	0.024823	4411521	4409273	lineage4	283.936249	0.0	373
M0016395_7	138	9	129	2	68	4167	0.069767	0.015504	4411446	4407706	lineage4	130.416656	0.0	138
M0010874_7	153	32	121	3	965	3780	0.264463	0.024793	4411315	4408716	lineage4	122.698074	0.0	153
02_R1708	0	0	0	0	0	3193	0.0	0.0	4411457	4408247	lineage4	0.021911	0.0	0
02_R0894	1	0	1	0	0	3193	0.0	0.0	4411412	4408202	lineage4	1.00628	0.0	1
01_R1430	148	30	118	3	965	2752	0.254237	0.025424	4411409	4408783	lineage4	120.345718	0.0	148
M0014888_3	132	47	85	1	68	4806	0.552941	0.011765	4411407	4407971	lineage4	82.572533	0.0	132
02_R1896	184	35	149	3	965	2755	0.234899	0.020134	4411418	4409156	lineage4	150.996475	0.0	184
TB4620	215	6	209	1	68	2795	0.028708	0.004785	4411458	4408681	lineage4	213.919861	0.0	215
TB3162	82	17	65	2	946	2950	0.261538	0.030769	4411457	4408634	lineage4	64.096497	0.0	82
