HmRegion_Num	Chr	Start	End	Center	Length	Overlap_Genes	NOvrlap_Transposase	num_HmAln_All	num_HmAln_PR_BelowSeqID100	num_HmAln_PR_MinSeqID99	HmRegionNum	HmRegionID	NOvrlap_IS6110_Label	PR_SetID	NPossible_SNPs_Total	NPossible_ParalogSNPs	NObserved_SNPs_Total	NObserved_SNPs_MatchParalogSNP	p_value	log_p_value	neglog_p_value	NExpected_MatchParalogSNP	p_corr	neglog_p_corr	NucDivHotspot_Ovrlap	FoldEnrichment	LogFoldEnrichment	Log2FoldEnrichment	AbsEnrichment	SizeFactor	Fraction_SNPs_MatchParalog
2	NC_000962.3	103705	105130	104417.5	1425	Rv0094c,Rv0095c	0	2	2	2	2	PR_HmRegion_002	0	PR_Set_3	4275	35	417	215	0.0	500.0	500.0	3.4140350877192986	1e-40	500.0	3	62.97533401849948	1.7991704796557637	5.976714963860453	211.5859649122807	1.0	0.5155875299760192
3	NC_000962.3	149571	149808	149689.5	237	PE_PGRS2	0	1	1	1	3	PR_HmRegion_003	0	PR_Set_4	711	38	2	0	1.0	0.0	-0.0	0.10689170182841069	1.0	0.0	0	0.0	0.0	0.0	-0.10689170182841069	0.0	0.0
4	NC_000962.3	177203	177447	177325.0	244	_	0	1	1	1	4	PR_HmRegion_004	0	PR_Set_5	732	21	1	0	1.0	0.0	-0.0	0.028688524590163935	1.0	0.0	0	0.0	0.0	0.0	-0.028688524590163935	0.0	0.0
5	NC_000962.3	196950	204585	200767.5	7635	yrbE1A,yrbE1B,mce1A,mce1B,mce1C,mce1D,lprK	0	1	1	1	5	PR_HmRegion_005	0	PR_Set_6	22905	1587	58	10	0.006086456701982957	-5.101689188966723	5.101689188966723	4.018598559266535	0.9555737022113242	0.045443383618414934	0	2.4884296981943814	0.395925375794317	1.3152356293299785	5.981401440733465	0.046511627906976744	0.1724137931034483
7	NC_000962.3	308996	309532	309264.0	536	PPE2	0	1	1	1	7	PR_HmRegion_007	0	PR_Set_8	1608	109	3	0	1.0	0.0	-0.0	0.20335820895522388	1.0	0.0	0	0.0	0.0	0.0	-0.20335820895522388	0.0	0.0
8	NC_000962.3	309898	310101	309999.5	203	Rv0257	0	3	3	3	8	PR_HmRegion_008	0	PR_Set_9	609	25	2	1	0.08048137585342664	-2.519729477181813	2.519729477181813	0.08210180623973727	1.0	0.0	0	12.18	1.0856472882968566	3.6064422281316078	0.9178981937602627	0.004651162790697674	0.5
9	NC_000962.3	332698	336379	334538.5	3681	vapC25,vapB25,PE_PGRS3	0	4	4	4	9	PR_HmRegion_009	0	PR_Set_10	11043	838	49	32	1.5610588860379126e-24	-54.81667786776011	54.81667786776011	3.7183736303540704	2.450862451079523e-22	49.76043206241181	0	8.605913009595247	0.9347969518274449	3.1053282572906578	28.28162636964593	0.14883720930232558	0.6530612244897959
10	NC_000962.3	336565	339142	337853.5	2577	PE_PGRS4	0	2	2	2	10	PR_HmRegion_010	0	PR_Set_10	7731	629	95	69	3.966769079030974e-55	-125.2642281853036	125.2642281853036	7.729271763031949	1e-40	120.20798237995528	1	8.927102334532675	0.9507105132737058	3.158191964148708	61.270728236968054	0.3209302325581395	0.7263157894736842
11	NC_000962.3	339372	339909	339640.5	537	PPE3	0	1	1	1	11	PR_HmRegion_011	0	PR_Set_8	1611	109	3	0	1.0	0.0	-0.0	0.20297951582867785	1.0	0.0	0	0.0	0.0	0.0	-0.20297951582867785	0.0	0.0
12	NC_000962.3	361334	362020	361677.0	686	PE_PGRS5	0	1	1	1	12	PR_HmRegion_012	0	PR_Set_11	2058	131	6	0	1.0	0.0	-0.0	0.3819241982507289	1.0	0.0	0	0.0	0.0	0.0	-0.3819241982507289	0.0	0.0
