SampleID	numContigs_Complete	circContig_Length	circContig_Cov	Flye_EstimatedCov	Flye_ReadLen_N50	Flye_ReadLen_N90	Lineage_Asm	Lineage_AsmPP	PrimaryLineage_Asm	Dataset_Tag	SR_SRA_RunAcc	SeqReason	PB_SeqRunName	EventID	Event_Gene(s)	Event_Relationship	TBP_SampleID	TGEN_SampleID
TB3706	1	4412093	127	129	4204	2724	lineage2.2.1	lineage2.2.1	lineage2	TBPortals2022	SRR10397096	ReseqToVerfGCE	P7529	Event_006	Rv0979c,rpmF,PE_PGRS18	Outside_Event	TB3706	DNA621
TB3305	1	4416251	161	174	4212	2712	lineage2.2.1	lineage2.2.1	lineage2	TBPortals2022	SRR10397175	ReseqToVerfGCE	P7529	Event_006	Rv0979c,rpmF,PE_PGRS18	Within_Event	TB3305	DNA594
TB6755	1	4417503	307	309	7792	6519	lineage4.1.2.1	lineage4.1.2.1	lineage4	TBPortals2022	SRR10379935	ReseqToVerfGCE	P7559	Event_007	Rv1148c	Within_Event	TB6755	DNA0432
TB6552	1	4408536	151	151	8683	7029	lineage4.1.2.1	lineage4.1.2.1	lineage4	TBPortals2022	SRR10380108	ReseqToVerfGCE	P7544	Event_010	PPE18,esxK,esxL	Within_Event	TB6552	DNA199
TB6765	1	4386061	82	82	8459	6983	lineage4.1.2.1	lineage4.1.2.1	lineage4	TBPortals2022	SRR10379924	ReseqToVerfGCE	P7544	Event_010	PPE18,esxK,esxL	Outside_Event	TB6765	DNA0441
TB7340	1	4438452	123	124	8542	7006	lineage4.2.1	lineage4.2.1	lineage4	TBPortals2022	SRR10380093	ReseqToVerfGCE	P7544	Event_002 | Event_024	Rv0393 | PPE59,Rv3430c	Outside_Event | Within_Event	TB7340	DNA146
TB6778	1	4426239	147	148	7909	6539	lineage4.2.1	lineage4.2.1	lineage4	TBPortals2022	SRR10380252	ReseqToVerfGCE	P7559	Event_011	PPE18	Within_Event	TB6778	DNA0453
TB7044	1	4435184	101	101	8506	6988	lineage4.2.1	lineage4.2.1	lineage4	TBPortals2022	SRR10380192	ReseqToVerfGCE	P7544	Event_007 | Event_008	Rv1148c | PPE18	Outside_Event | Outside_Event	TB7044	DNA246
TB6973	1	4431752	101	102	7910	6549	lineage4.2.1	lineage4.2.1	lineage4	TBPortals2022	SRR10380223	ReseqToVerfGCE	P7559	Event_012	PPE18	Outside_Event	TB6973	DNA237
TB6807	1	4438385	166	167	8028	6566	lineage4.2.1	lineage4.2.1	lineage4	TBPortals2022	SRR10379998	ReseqToVerfGCE	P7559	Event_024	PPE59,Rv3430c	Outside_Event	TB6807	DNA0479
TB6976	1	4398287	83	84	7892	6545	lineage4.3.3	lineage4.3.3	lineage4	TBPortals2022	SRR10380219	ReseqToVerfGCE	P7559	Event_019	PPE46	Outside_Event	TB6976	DNA0527
TB3572	1	4397064	103	103	7881	6851	lineage4.3.3	lineage4.3.3	lineage4	TBPortals2022	SRR10397163	ReseqToVerfGCE	P7544	Event_021	Rv3108	Within_Event	TB3572	DNA361
TB6599	1	4393396	57	56	7900	6540	lineage4.3.4.1	lineage4.3.4.1	lineage4	TBPortals2022	SRR10379958	ReseqToVerfGCE	P7559	Event_018	esxQ,PPE46	Outside_Event	TB6599	DNA0417
TB6977	1	4357767	21	21	8548	6988	lineage4.3.4.2	lineage4.3.4.2	lineage4	TBPortals2022	SRR10380218	ReseqToVerfGCE	P7544	Event_003	vapB31,vapC31	Outside_Event	TB6977	DNA0530
TB6846	1	4410091	116	117	8745	7059	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10379893	ReseqToVerfGCE	P7544	Event_025	PPE60	Within_Event	TB6846	DNA0511
TB4414	1	4406178	200	200	7994	3750	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10430399	ReseqToVerfGCE	P7761	Event_016	Rv2651c	Outside_Event	TB4414	DNA014
TB6786	1	4414481	182	183	8033	6575	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10380244	ReseqToVerfGCE	P7559	Event_013	PPE19	Within_Event	TB6786	DNA216
TB6733	1	4397453	318	317	6575	3909	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10379945	ReseqToVerfGCE	P7529	Event_001	vapC25,vapB25	Within_Event	TB6733	DNA0428
TB8073	1	4409032	219	218	8481	6989	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10380026	ReseqToVerfGCE	P7544	Event_022	PPE56	Outside_Event	TB8073	DNA125
TB6596	1	4418004	178	179	8282	6625	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10379961	ReseqToVerfGCE	P7559	Event_022	PPE56	Within_Event	TB6596	DNA0415
TB3898	1	4406681	49	50	4075	2546	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10397263	ReseqToVerfGCE	P7529	Event_001	vapC25,vapB25	Outside_Event	TB3898	DNA373
TB3256	1	4416601	86	86	7466	6442	lineage4.8	lineage4.8	lineage4	TBPortals2022	SRR10397205	ReseqToVerfGCE	P7559	Event_013	PPE19	Outside_Event	TB3256	DNA350
