Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
N0072	328	36	292	4	391	3619	0.123288	0.013699	4411487	4408943
N0153	474	37	437	5	532	2672	0.084668	0.011442	4411231	4408758
TB3113	23	0	23	0	0	3600	0.000000	0.000000	4411528	4407912
TB1236	2	0	2	0	0	3425	0.000000	0.000000	4411510	4408070
TB2659	1	0	1	0	0	3425	0.000000	0.000000	4411517	4408077
TB2780	60	0	60	0	0	3386	0.000000	0.000000	4411529	4408129
TB1612	52	0	52	0	0	3386	0.000000	0.000000	4411482	4408082
TB2512	24	0	24	0	0	3600	0.000000	0.000000	4411528	4407912
TB2981	13	0	13	0	0	3600	0.000000	0.000000	4411528	4407912
TB3091	13	0	13	0	0	3386	0.000000	0.000000	4411509	4408109
M0003941_3	89	5	84	1	68	3644	0.059524	0.011905	4411515	4408115
TB3368	97	6	91	1	68	3470	0.065934	0.010989	4411501	4408101
N0145	48	0	48	0	0	3386	0.000000	0.000000	4411510	4408110
N0155	127	5	122	1	68	3504	0.040984	0.008197	4411526	4408126
TB2995	34	0	34	0	0	3600	0.000000	0.000000	4411525	4407909
TB3396	14	0	14	0	0	3386	0.000000	0.000000	4411504	4408104
N0004	219	43	176	3	965	2700	0.244318	0.017045	4411465	4409340
N1274	324	26	298	5	1215	2173	0.087248	0.016779	4411449	4409369
N0054	201	4	197	1	68	2188	0.020305	0.005076	4411464	4409339
02_R1179	141	0	141	0	0	2616	0.000000	0.000000	4411424	4408792
01_R1134	408	44	364	6	1222	3076	0.120879	0.016484	4411499	4409591
M0017522_5	373	91	282	7	1256	3789	0.322695	0.024823	4411521	4409273
M0016395_7	138	9	129	2	68	4167	0.069767	0.015504	4411446	4407706
M0010874_7	153	32	121	3	965	3780	0.264463	0.024793	4411315	4408716
02_R1708	0	0	0	0	0	3193	0.000000	0.000000	4411457	4408247
02_R0894	1	0	1	0	0	3193	0.000000	0.000000	4411412	4408202
01_R1430	148	30	118	3	965	2752	0.254237	0.025424	4411409	4408783
