Chrom	Start	End	Overlap_Genes	Middle	pGCE_Count	CenterOfRegion
NC_000962.3	0	1000	dnaA	500.0	0	500.0
NC_000962.3	1000	2000	dnaA	1500.0	0	1500.0
NC_000962.3	2000	3000	dnaN	2500.0	0	2500.0
NC_000962.3	3000	4000	dnaN,recF	3500.0	0	3500.0
NC_000962.3	4000	5000	recF,Rv0004	4500.0	0	4500.0
NC_000962.3	5000	6000	gyrB	5500.0	0	5500.0
NC_000962.3	6000	7000	gyrB	6500.0	0	6500.0
NC_000962.3	7000	8000	gyrB,gyrA	7500.0	0	7500.0
NC_000962.3	8000	9000	gyrA	8500.0	0	8500.0
NC_000962.3	9000	10000	gyrA,Rv0007	9500.0	0	9500.0
NC_000962.3	10000	11000	Rv0007,ileT	10500.0	0	10500.0
NC_000962.3	11000	12000	alaT,Rv0008c	11500.0	0	11500.0
NC_000962.3	12000	13000	Rv0008c,ppiA	12500.0	0	12500.0
NC_000962.3	13000	14000	ppiA,Rv0010c,Rv0011c	13500.0	0	13500.0
NC_000962.3	14000	15000	Rv0012,trpG	14500.0	0	14500.0
NC_000962.3	15000	16000	trpG,pknB	15500.0	0	15500.0
NC_000962.3	16000	17000	pknB	16500.0	0	16500.0
NC_000962.3	17000	18000	pknB,pknA	17500.0	0	17500.0
NC_000962.3	18000	19000	pknA,pbpA	18500.0	0	18500.0
NC_000962.3	19000	20000	pbpA	19500.0	0	19500.0
NC_000962.3	20000	21000	pbpA,rodA	20500.0	0	20500.0
NC_000962.3	21000	22000	rodA,pstP	21500.0	0	21500.0
NC_000962.3	22000	23000	pstP	22500.0	0	22500.0
NC_000962.3	23000	24000	pstP,fhaB,fhaA	23500.0	0	23500.0
NC_000962.3	24000	25000	fhaA	24500.0	0	24500.0
NC_000962.3	25000	26000	fhaA,leuT,Rv0021c	25500.0	0	25500.0
NC_000962.3	26000	27000	Rv0021c	26500.0	0	26500.0
NC_000962.3	27000	28000	whiB5,Rv0023	27500.0	0	27500.0
NC_000962.3	28000	29000	Rv0023,Rv0024	28500.0	0	28500.0
NC_000962.3	29000	30000	Rv0024,Rv0025,Rv0026	29500.0	0	29500.0
NC_000962.3	30000	31000	Rv0026	30500.0	0	30500.0
NC_000962.3	31000	32000	Rv0026,Rv0027,Rv0028	31500.0	0	31500.0
NC_000962.3	32000	33000	Rv0029	32500.0	0	32500.0
NC_000962.3	33000	34000	Rv0029,Rv0030,Rv0031	33500.0	0	33500.0
NC_000962.3	34000	35000	bioF2	34500.0	0	34500.0
NC_000962.3	35000	36000	bioF2	35500.0	0	35500.0
NC_000962.3	36000	37000	bioF2,acpA,Rv0034	36500.0	0	36500.0
NC_000962.3	37000	38000	Rv0034,fadD34	37500.0	0	37500.0
NC_000962.3	38000	39000	fadD34	38500.0	0	38500.0
NC_000962.3	39000	40000	Rv0036c,Rv0037c	39500.0	0	39500.0
NC_000962.3	40000	41000	Rv0037c	40500.0	0	40500.0
NC_000962.3	41000	42000	Rv0037c,Rv0038	41500.0	0	41500.0
NC_000962.3	42000	43000	Rv0039c,mtc28	42500.0	0	42500.0
NC_000962.3	43000	44000	mtc28,leuS	43500.0	0	43500.0
NC_000962.3	44000	45000	leuS	44500.0	0	44500.0
NC_000962.3	45000	46000	leuS	45500.0	0	45500.0
NC_000962.3	46000	47000	leuS,Rv0042c	46500.0	0	46500.0
NC_000962.3	47000	48000	Rv0042c,Rv0043c	47500.0	0	47500.0
NC_000962.3	48000	49000	Rv0043c,Rv0044c	48500.0	0	48500.0
NC_000962.3	49000	50000	Rv0044c,Rv0045c	49500.0	0	49500.0
NC_000962.3	50000	51000	ino1	50500.0	0	50500.0
NC_000962.3	51000	52000	ino1,Rv0047c,Rv0048c	51500.0	0	51500.0
NC_000962.3	52000	53000	Rv0048c,Rv0049	52500.0	0	52500.0
NC_000962.3	53000	54000	Rv0049,ponA1	53500.0	0	53500.0
NC_000962.3	54000	55000	ponA1	54500.0	0	54500.0
NC_000962.3	55000	56000	ponA1,Rv0051	55500.0	0	55500.0
NC_000962.3	56000	57000	Rv0051	56500.0	0	56500.0
NC_000962.3	57000	58000	Rv0051,Rv0052	57500.0	0	57500.0
NC_000962.3	58000	59000	rpsF,ssb	58500.0	0	58500.0
NC_000962.3	59000	60000	ssb,rpsR1,rplI,Rv0057	59500.0	0	59500.0
NC_000962.3	60000	61000	Rv0057,dnaB	60500.0	0	60500.0
NC_000962.3	61000	62000	dnaB	61500.0	0	61500.0
NC_000962.3	62000	63000	dnaB	62500.0	0	62500.0
NC_000962.3	63000	64000	dnaB,Rv0059,Rv0060	63500.0	0	63500.0
NC_000962.3	64000	65000	Rv0060	64500.0	0	64500.0
NC_000962.3	65000	66000	Rv0061c,celA1	65500.0	0	65500.0
NC_000962.3	66000	67000	celA1,Rv0063	66500.0	0	66500.0
NC_000962.3	67000	68000	Rv0063	67500.0	0	67500.0
NC_000962.3	68000	69000	Rv0063,Rv0064	68500.0	0	68500.0
NC_000962.3	69000	70000	Rv0064	69500.0	0	69500.0
NC_000962.3	70000	71000	Rv0064	70500.0	0	70500.0
NC_000962.3	71000	72000	Rv0064,vapB1,vapC1	71500.0	0	71500.0
NC_000962.3	72000	73000	vapC1,icd2	72500.0	0	72500.0
NC_000962.3	73000	74000	icd2	73500.0	0	73500.0
NC_000962.3	74000	75000	icd2,Rv0067c	74500.0	0	74500.0
NC_000962.3	75000	76000	Rv0067c,Rv0068	75500.0	0	75500.0
NC_000962.3	76000	77000	Rv0068,sdaA	76500.0	0	76500.0
NC_000962.3	77000	78000	sdaA,glyA2	77500.0	0	77500.0
NC_000962.3	78000	79000	glyA2	78500.0	0	78500.0
NC_000962.3	79000	80000	Rv0071	79500.0	0	79500.0
NC_000962.3	80000	81000	Rv0071,Rv0072	80500.0	0	80500.0
NC_000962.3	81000	82000	Rv0072,Rv0073	81500.0	0	81500.0
NC_000962.3	82000	83000	Rv0073,Rv0074	82500.0	0	82500.0
NC_000962.3	83000	84000	Rv0074,Rv0075	83500.0	0	83500.0
NC_000962.3	84000	85000	Rv0075	84500.0	0	84500.0
NC_000962.3	85000	86000	Rv0075,Rv0076c,Rv0077c	85500.0	0	85500.0
NC_000962.3	86000	87000	Rv0077c,Rv0078	86500.0	0	86500.0
NC_000962.3	87000	88000	Rv0078,Rv0078A,Rv0078B	87500.0	0	87500.0
NC_000962.3	88000	89000	Rv0078B,Rv0079	88500.0	0	88500.0
NC_000962.3	89000	90000	Rv0079,Rv0080,Rv0081,Rv0082	89500.0	0	89500.0
NC_000962.3	90000	91000	Rv0082,Rv0083	90500.0	0	90500.0
NC_000962.3	91000	92000	Rv0083	91500.0	0	91500.0
NC_000962.3	92000	93000	Rv0083,hycD	92500.0	0	92500.0
NC_000962.3	93000	94000	hycD,hycP,hycQ	93500.0	0	93500.0
NC_000962.3	94000	95000	hycQ	94500.0	0	94500.0
NC_000962.3	95000	96000	hycQ,hycE	95500.0	0	95500.0
NC_000962.3	96000	97000	hycE,Rv0088	96500.0	0	96500.0
NC_000962.3	97000	98000	Rv0088,Rv0089	97500.0	0	97500.0
NC_000962.3	98000	99000	Rv0089,Rv0090	98500.0	0	98500.0
NC_000962.3	99000	100000	Rv0090,mtn	99500.0	0	99500.0
NC_000962.3	100000	101000	mtn,ctpA	100500.0	0	100500.0
NC_000962.3	101000	102000	ctpA	101500.0	0	101500.0
NC_000962.3	102000	103000	ctpA,Rv0093c	102500.0	0	102500.0
NC_000962.3	103000	104000	Rv0093c,Rv0094c	103500.0	15	103500.0
NC_000962.3	104000	105000	Rv0094c,Rv0095c	104500.0	28	104500.0
NC_000962.3	105000	106000	Rv0095c,PPE1	105500.0	9	105500.0
NC_000962.3	106000	107000	PPE1,Rv0097	106500.0	0	106500.0
NC_000962.3	107000	108000	Rv0097,fcoT	107500.0	0	107500.0
NC_000962.3	108000	109000	fcoT,fadD10	108500.0	0	108500.0
NC_000962.3	109000	110000	fadD10,Rv0100	109500.0	0	109500.0
NC_000962.3	110000	111000	Rv0100,nrp	110500.0	0	110500.0
NC_000962.3	111000	112000	nrp	111500.0	0	111500.0
NC_000962.3	112000	113000	nrp	112500.0	0	112500.0
NC_000962.3	113000	114000	nrp	113500.0	0	113500.0
NC_000962.3	114000	115000	nrp	114500.0	0	114500.0
NC_000962.3	115000	116000	nrp	115500.0	0	115500.0
NC_000962.3	116000	117000	nrp	116500.0	0	116500.0
NC_000962.3	117000	118000	nrp,Rv0102	117500.0	0	117500.0
NC_000962.3	118000	119000	Rv0102	118500.0	0	118500.0
NC_000962.3	119000	120000	Rv0102,ctpB	119500.0	0	119500.0
NC_000962.3	120000	121000	ctpB	120500.0	0	120500.0
NC_000962.3	121000	122000	ctpB	121500.0	0	121500.0
NC_000962.3	122000	123000	ctpB,Rv0104	122500.0	0	122500.0
NC_000962.3	123000	124000	Rv0104,rpmB1	123500.0	0	123500.0
NC_000962.3	124000	125000	rpmB1,Rv0106	124500.0	0	124500.0
NC_000962.3	125000	126000	Rv0106,ctpI	125500.0	0	125500.0
NC_000962.3	126000	127000	ctpI	126500.0	0	126500.0
NC_000962.3	127000	128000	ctpI	127500.0	0	127500.0
NC_000962.3	128000	129000	ctpI	128500.0	0	128500.0
NC_000962.3	129000	130000	ctpI	129500.0	0	129500.0
NC_000962.3	130000	131000	ctpI,Rv0108c	130500.0	0	130500.0
NC_000962.3	131000	132000	Rv0108c,PE_PGRS1	131500.0	0	131500.0
NC_000962.3	132000	133000	PE_PGRS1	132500.0	0	132500.0
NC_000962.3	133000	134000	Rv0110,Rv0111	133500.0	0	133500.0
NC_000962.3	134000	135000	Rv0111	134500.0	0	134500.0
NC_000962.3	135000	136000	Rv0111	135500.0	0	135500.0
NC_000962.3	136000	137000	Rv0111,gca	136500.0	0	136500.0
NC_000962.3	137000	138000	gca,gmhA,gmhB	137500.0	0	137500.0
NC_000962.3	138000	139000	gmhB,hddA	138500.0	0	138500.0
NC_000962.3	139000	140000	hddA	139500.0	0	139500.0
NC_000962.3	140000	141000	ldtA	140500.0	0	140500.0
NC_000962.3	141000	142000	ldtA,oxyS	141500.0	0	141500.0
NC_000962.3	142000	143000	oxyS,oxcA	142500.0	0	142500.0
NC_000962.3	143000	144000	oxcA	143500.0	0	143500.0
NC_000962.3	144000	145000	fadD7	144500.0	0	144500.0
NC_000962.3	145000	146000	fadD7,fusA2	145500.0	0	145500.0
NC_000962.3	146000	147000	fusA2	146500.0	0	146500.0
NC_000962.3	147000	148000	fusA2,Rv0121c	147500.0	0	147500.0
NC_000962.3	148000	149000	Rv0121c,Rv0122,Rv0123	148500.0	0	148500.0
NC_000962.3	149000	150000	Rv0123,PE_PGRS2	149500.0	0	149500.0
NC_000962.3	150000	151000	PE_PGRS2	150500.0	1	150500.0
NC_000962.3	151000	152000	pepA	151500.0	0	151500.0
NC_000962.3	152000	153000	pepA,treS	152500.0	0	152500.0
NC_000962.3	153000	154000	treS	153500.0	0	153500.0
NC_000962.3	154000	155000	treS,mak	154500.0	0	154500.0
NC_000962.3	155000	156000	mak,Rv0128	155500.0	0	155500.0
NC_000962.3	156000	157000	Rv0128,fbpC	156500.0	0	156500.0
NC_000962.3	157000	158000	fbpC,htdZ	157500.0	0	157500.0
NC_000962.3	158000	159000	htdZ,fadE1	158500.0	0	158500.0
