PR_SetID	putative	mapped	num_regions	num_genes	genes	genes_csv	region_gene_map	num_region_gene_map_entries	Gene_Categories	Num_Gene_Categories
PR_Set_3	58.0	35.0	3	6	['Rv0094c', 'Rv0095c', 'Rv1587c', 'Rv1588c', 'Rv3466', 'Rv3467']	Rv0094c, Rv0095c, Rv1587c, Rv1588c, Rv3466, Rv3467	{'PR_HmRegion_002': 'Rv0094c,Rv0095c', 'PR_HmRegion_074': 'Rv1587c,Rv1588c', 'PR_HmRegion_180': 'Rv3466,Rv3467'}	3	['REP13E12_Repeat']	1
PR_Set_10	42.0	19.0	9	13	['PE_PGRS10', 'PE_PGRS12', 'PE_PGRS13', 'PE_PGRS24', 'PE_PGRS3', 'PE_PGRS4', 'PE_PGRS52', 'PE_PGRS54', 'PE_PGRS55', 'PE_PGRS56', 'PE_PGRS57', 'fadD18', 'fadD19']	PE_PGRS10, PE_PGRS12, PE_PGRS13, PE_PGRS24, PE_PGRS3, PE_PGRS4, PE_PGRS52, PE_PGRS54, PE_PGRS55, PE_PGRS56, PE_PGRS57, fadD18, fadD19	{'PR_HmRegion_009': 'PE_PGRS3', 'PR_HmRegion_010': 'PE_PGRS4', 'PR_HmRegion_032': 'PE_PGRS10', 'PR_HmRegion_037': 'PE_PGRS12,PE_PGRS13', 'PR_HmRegion_059': 'PE_PGRS24', 'PR_HmRegion_176': 'PE_PGRS52', 'PR_HmRegion_183': 'PE_PGRS54', 'PR_HmRegion_184': 'PE_PGRS55,PE_PGRS56,fadD18', 'PR_HmRegion_185': 'PE_PGRS57,fadD19'}	9	['PE/PPE', 'lipid metabolism']	2
PR_Set_23	40.0	33.0	4	6	['PE_PGRS27', 'PE_PGRS28', 'PE_PGRS40', 'PE_PGRS9', 'Rv1453', 'Rv2370c']	PE_PGRS27, PE_PGRS28, PE_PGRS40, PE_PGRS9, Rv1453, Rv2370c	{'PR_HmRegion_031': 'PE_PGRS9', 'PR_HmRegion_064': 'PE_PGRS27', 'PR_HmRegion_065': 'PE_PGRS28,Rv1453', 'PR_HmRegion_117': 'Rv2370c,PE_PGRS40'}	4	['PE/PPE', 'conserved hypotheticals', 'regulatory proteins']	3
PR_Set_28	26.0	24.0	5	12	['PPE18', 'Rv2348c', 'esxI', 'esxJ', 'esxK', 'esxL', 'esxM', 'esxN', 'esxO', 'esxP', 'esxV', 'esxW']	PPE18, Rv2348c, esxI, esxJ, esxK, esxL, esxM, esxN, esxO, esxP, esxV, esxW	{'PR_HmRegion_042': 'esxI,esxJ', 'PR_HmRegion_054': 'PPE18,esxK,esxL', 'PR_HmRegion_087': 'esxM,esxN', 'PR_HmRegion_113': 'esxO,esxP,Rv2348c', 'PR_HmRegion_189': 'esxV,esxW'}	5	['PE/PPE', 'esx', 'unknown']	3
PR_Set_36	20.0	20.0	3	5	['PE13', 'PE31', 'PPE18', 'PPE19', 'PPE60']	PE13, PE31, PPE18, PPE19, PPE60	{'PR_HmRegion_053': 'PE13,PPE18', 'PR_HmRegion_060': 'PPE19', 'PR_HmRegion_182': 'PE31,PPE60'}	3	['PE/PPE']	1
PR_Set_34	18.0	17.0	2	3	['Rv1148c', 'Rv1944c', 'Rv1945']	Rv1148c, Rv1944c, Rv1945	{'PR_HmRegion_050': 'Rv1148c', 'PR_HmRegion_094': 'Rv1944c,Rv1945'}	2	['REP13E12_Repeat', 'conserved hypotheticals']	2
PR_Set_24	15.0	10.0	21	45	['PPE39', 'PPE40', 'PPE53', 'PPE55', 'PPE56', 'Rv0795', 'Rv0796', 'Rv0797', 'Rv1369c', 'Rv1370c', 'Rv1756c', 'Rv1757c', 'Rv1763', 'Rv1764', 'Rv1765c', 'Rv2015c', 'Rv2105', 'Rv2106', 'Rv2167c', 'Rv2168c', 'Rv2277c', 'Rv2278', 'Rv2279', 'Rv2354', 'Rv2355', 'Rv2478c', 'Rv2479c', 'Rv2480c', 'Rv2648', 'Rv2649', 'Rv2814c', 'Rv2815c', 'Rv3184', 'Rv3185', 'Rv3186', 'Rv3187', 'Rv3325', 'Rv3326', 'Rv3327', 'Rv3380c', 'Rv3381c', 'Rv3474', 'Rv3475', 'cut1', 'plcD']	PPE39, PPE40, PPE53, PPE55, PPE56, Rv0795, Rv0796, Rv0797, Rv1369c, Rv1370c, Rv1756c, Rv1757c, Rv1763, Rv1764, Rv1765c, Rv2015c, Rv2105, Rv2106, Rv2167c, Rv2168c, Rv2277c, Rv2278, Rv2279, Rv2354, Rv2355, Rv2478c, Rv2479c, Rv2480c, Rv2648, Rv2649, Rv2814c, Rv2815c, Rv3184, Rv3185, Rv3186, Rv3187, Rv3325, Rv3326, Rv3327, Rv3380c, Rv3381c, Rv3474, Rv3475, cut1, plcD	{'PR_HmRegion_034': 'Rv0795,Rv0796,Rv0797', 'PR_HmRegion_061': 'Rv1369c,Rv1370c', 'PR_HmRegion_083': 'plcD,Rv1756c,Rv1757c,cut1', 'PR_HmRegion_084': 'Rv1763,Rv1764,Rv1765c', 'PR_HmRegion_096': 'Rv2015c', 'PR_HmRegion_105': 'Rv2105,Rv2106', 'PR_HmRegion_106': 'Rv2167c,Rv2168c', 'PR_HmRegion_112': 'Rv2277c,Rv2278,Rv2279', 'PR_HmRegion_114': 'PPE39,Rv2354,Rv2355', 'PR_HmRegion_116': 'PPE40', 'PR_HmRegion_120': 'Rv2478c,Rv2479c,Rv2480c', 'PR_HmRegion_129': 'Rv2648,Rv2649', 'PR_HmRegion_140': 'Rv2814c,Rv2815c', 'PR_HmRegion_160': 'PPE53', 'PR_HmRegion_161': 'Rv3184,Rv3185', 'PR_HmRegion_162': 'Rv3186,Rv3187', 'PR_HmRegion_165': 'Rv3325,Rv3326,Rv3327', 'PR_HmRegion_171': 'PPE55', 'PR_HmRegion_173': 'PPE56', 'PR_HmRegion_175': 'Rv3380c,Rv3381c', 'PR_HmRegion_181': 'Rv3474,Rv3475'}	21	['PE/PPE', 'cell wall and cell processes', 'conserved hypotheticals', 'insertion seqs and phages', 'intermediary metabolism and respiration']	5
PR_Set_27	14.0	13.0	3	5	['PE_PGRS17', 'PE_PGRS18', 'PE_PGRS45', 'Rv0979c', 'rpmF']	PE_PGRS17, PE_PGRS18, PE_PGRS45, Rv0979c, rpmF	{'PR_HmRegion_040': 'PE_PGRS17', 'PR_HmRegion_041': 'Rv0979c,rpmF,PE_PGRS18', 'PR_HmRegion_127': 'PE_PGRS45'}	3	['PE/PPE', 'conserved hypotheticals', 'information pathways']	3
PR_Set_67	10.0	7.0	3	1	['PPE54']	PPE54	{'PR_HmRegion_166': 'PPE54', 'PR_HmRegion_167': 'PPE54', 'PR_HmRegion_168': 'PPE54'}	3	['PE/PPE']	1
PR_Set_10_B	9.0	7.0	2	4	['vapB25', 'vapB31', 'vapC25', 'vapC31']	vapB25, vapB31, vapC25, vapC31	{'PR_HmRegion_009_B': 'vapC25,vapB25', 'PR_HmRegion_032_B': 'vapB31,vapC31'}	2	['virulence, detoxification, adaptation']	1
