Chrom	Start	End	Strand	Feature	H37rv_GeneID	Symbol	Functional_Category	Gene_Cat_V2	N_Pos	N_Neg	Total	Positive_Proportion	Middle	Length	AnyPosEpitope	Antigen_LVL2	N_HmRegion	HasHmRegion	AntigenLVL2_And_HHR_Comb	pGCE_Ovrlap	mGCE_Ovrlap	Total_NS_Muts	Total_NS_Muts_InEpitope	Total_NS_Muts_BymGCE	Total_NS_Muts_BypGCE	Total_NS_Muts_BymGCE_InEpitope	Total_NS_Muts_BypGCE_InEpitope	RelFreq_NS_Muts	RelFreq_NS_Mut_InEpitope	Has_mGCE	Has_mGCE_WiNSMut	Has_mGCE_WiNSMut_InEpitope	Has_pGCE	Has_pGCE_WiNSMut	Has_pGCE_WiNSMut_InEpitope
NC_000962.3	13132	13558	-	CDS	Rv0010c	Rv0010c	cell wall and cell processes	cell wall and cell processes	2	4	6	0.3333333333333333	13345.0	426	True	True	0	False	Antigen-Unq	0	0	9.0	2.0	0.0	0.0	0.0	9.0	6.338028169014084	1.4084507042253522	False	False	False	False	False	True
NC_000962.3	151147	152215	+	CDS	Rv0125	pepA	intermediary metabolism and respiration	intermediary metabolism and respiration	3	69	72	0.0416666666666666	151681.0	1068	True	True	0	False	Antigen-Unq	0	0	5.0	0.0	0.0	0.0	0.0	5.0	1.404494382022472	0.0	False	False	False	False	False	True
NC_000962.3	207451	208420	+	CDS	Rv0176	Rv0176	cell wall and cell processes	cell wall and cell processes	2	3	5	0.4	207935.5	969	True	True	0	False	Antigen-Unq	0	0	6.0	0.0	0.0	0.0	0.0	6.0	1.8575851393188856	0.0	False	False	False	False	False	True
NC_000962.3	331747	332668	+	CDS	Rv0276	Rv0276	conserved hypotheticals	conserved hypotheticals	3	2	5	0.6	332207.5	921	True	True	0	False	Antigen-Unq	0	0	3.0	1.0	0.0	0.0	0.0	3.0	0.977198697068404	0.3257328990228013	False	False	False	False	False	True
NC_000962.3	345634	349627	+	CDS	Rv0284	eccC3	cell wall and cell processes	cell wall and cell processes	6	4	10	0.6	347630.5	3993	True	True	0	False	Antigen-Unq	0	0	7.0	1.0	0.0	0.0	0.0	7.0	0.5259203606311044	0.0751314800901577	False	False	False	False	False	True
NC_000962.3	351524	351818	+	CDS	Rv0287	esxG	cell wall and cell processes	esx	2	0	2	1.0	351671.0	294	True	True	0	False	Antigen-Unq	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	False	False	False	False
NC_000962.3	351847	352138	+	CDS	Rv0288	esxH	cell wall and cell processes	esx	23	3	26	0.8846153846153846	351992.5	291	True	True	0	False	Antigen-Unq	0	0	3.0	3.0	0.0	0.0	0.0	3.0	3.0927835051546397	3.0927835051546397	False	False	False	False	False	True
NC_000962.3	353082	354501	+	CDS	Rv0290	eccD3	cell wall and cell processes	cell wall and cell processes	5	2	7	0.7142857142857143	353791.5	1419	True	True	0	False	Antigen-Unq	0	0	5.0	1.0	0.0	0.0	0.0	5.0	1.0570824524312896	0.2114164904862579	False	False	False	False	False	True
NC_000962.3	528607	530230	+	CDS	Rv0440	groEL2	virulence, detoxification, adaptation	virulence, detoxification, adaptation	2	6	8	0.25	529418.5	1623	True	True	0	False	Antigen-Unq	0	0	1.0	0.0	0.0	0.0	0.0	1.0	0.1848428835489833	0.0	False	False	False	False	False	True
NC_000962.3	1111611	1112223	+	CDS	Rv0995	rimJ	information pathways	information pathways	2	3	5	0.4	1111917.0	612	True	True	0	False	Antigen-Unq	0	0	5.0	1.0	0.0	0.0	0.0	5.0	2.450980392156863	0.4901960784313726	False	False	False	False	False	True
