SampleID	Cohort	chrom	chromStart	chromEnd	name	score	zscore	af	Lifted	H37Rv_chrom	H37Rv_start	H37Rv_end	ClampFlags	overlaps_hotspot	overlaps_pr
4549-04	Mtb151	4549-04	914818	915914	softclip	44	343.26434	1.8131868	True	NC_000962.3	918744.0	918745.0	start_clamped	False	False
702-06	Mtb151	702-06	1074139	1074840	softclip	29	256.3774	1.8695652	True	NC_000962.3	1079342.0	1079343.0	start_clamped	False	False
706-05	Mtb151	706-05	1016604	1018011	softclip	20	334.74655	1.8888888	False						
8651-04	Mtb151	8651-04	677788	678606	softclip	30	309.6943	2.0	False						
8651-04	Mtb151	8651-04	2216860	2217542	softclip	31	357.58517	1.9824561	True	NC_000962.3	2227097.0	2227098.0	start_clamped	False	False
N0153	Mtb151	N0153	837465	837501	het_or_mismap	78	6.587802	0.28871796	False						
N0153	Mtb151	N0153	839961	839962	softclip	16	19.570618	0.625	False						
N0153	Mtb151	N0153	840077	840131	het_or_mismap	88	7.986825	0.29348317	True	NC_000962.3	838645.0	838699.0		False	True
QC-10	Mtb151	QC-10	564813	565815	softclip	5	578.4393	1.8	True	NC_000962.3	561498.0	561499.0	start_clamped	False	False
QC-10	Mtb151	QC-10	772284	772518	deletion	13	39.153717	30.0	True	NC_000962.3	767450.0	767542.0		False	False
QC-10	Mtb151	QC-10	1801194	1801329	deletion	9	33.753204	25.0	True	NC_000962.3	1808066.0	1808112.0		False	False
QC-10	Mtb151	QC-10	3014736	3014844	deletion	3	20.251923	16.0	True	NC_000962.3	3018725.0	3018757.0		False	False
QC-10	Mtb151	QC-10	3411993	3412278	deletion	10	36.45346	28.0	True	NC_000962.3	3416051.0	3416165.0		False	False
QC-4	Mtb151	QC-4	4286939	4287260	deletion	23	108.55724	74.0	True	NC_000962.3	4283808.0	4283953.0		False	False
QC-4	Mtb151	QC-4	4313384	4313760	deletion	32	110.044334	37.5	True	NC_000962.3	4310014.0	4310159.0		False	False
QC-6	Mtb151	QC-6	227538	227885	deletion	10	25.336737	10.5	True	NC_000962.3	226120.0	226287.0		False	False
QC-6	Mtb151	QC-6	1152192	1152749	deletion	8	13.935205	6.0	True	NC_000962.3	1147936.0	1148239.0		False	False
QC-6	Mtb151	QC-6	3243346	3243384	deletion	17	11.401532	0.5882353	True	NC_000962.3	3239601.0	3239639.0		False	True
QC-6	Mtb151	QC-6	3243389	3243406	deletion	16	11.401532	0.5882353	True	NC_000962.3	3239644.0	3239661.0		False	True
QC-7	Mtb151	QC-7	171625	171632	homopolymer	28	5.361524	1.5238096	True	NC_000962.3	171456.0	171457.0	end_clamped	False	False
QC-7	Mtb151	QC-7	171632	171677	het_or_mismap	21	8.696553	0.42857143	False						
QC-7	Mtb151	QC-7	171677	171681	deletion	21	5.361524	1.5238096	False						
