chrom	start	end	Length	Overlap_Genes
NC_000962.3	7158	7172	14	gyrB
NC_000962.3	17896	17904	8	pknA
NC_000962.3	18053	18067	14	pknA
NC_000962.3	50046	50057	11	ino1
NC_000962.3	55533	55555	22	ponA1
NC_000962.3	79504	79557	53	Rv0071
NC_000962.3	131748	132837	1089	PE_PGRS1
NC_000962.3	149872	150930	1058	PE_PGRS2
NC_000962.3	241465	241499	34	_
NC_000962.3	261809	261824	15	Rv0218
NC_000962.3	271330	271343	13	Rv0226c
NC_000962.3	278389	278402	13	Rv0232
NC_000962.3	289406	289419	13	vapC24
NC_000962.3	333539	335974	2435	PE_PGRS3
NC_000962.3	336578	338746	2168	PE_PGRS4
NC_000962.3	340617	340645	28	PPE3
NC_000962.3	341270	341283	13	Rv0281
NC_000962.3	361677	363100	1423	PE_PGRS5
NC_000962.3	366467	367628	1161	PPE5
NC_000962.3	367939	368491	552	PPE5
NC_000962.3	369305	369858	553	PPE5
NC_000962.3	371859	372477	618	PPE5
NC_000962.3	374531	374723	192	PPE6
NC_000962.3	424011	424143	132	hspR
NC_000962.3	424880	425581	701	PPE8
NC_000962.3	426343	427416	1073	PPE8
NC_000962.3	428096	428500	404	PPE8
NC_000962.3	429536	430544	1008	PPE8
NC_000962.3	430980	431489	509	PPE8
NC_000962.3	433457	434022	565	PPE8
NC_000962.3	472711	472749	38	_
NC_000962.3	531326	531644	318	PPE10
NC_000962.3	566276	566382	106	hbhA
NC_000962.3	569820	569978	158	_
NC_000962.3	577285	577496	211	Rv0487
NC_000962.3	578789	578803	14	gpm1
NC_000962.3	580575	580814	239	senX3,regX3
NC_000962.3	585978	585991	13	Rv0495c
NC_000962.3	613371	613386	15	gabP
NC_000962.3	619973	619986	13	ccsA
NC_000962.3	623114	624421	1307	PE_PGRS6
NC_000962.3	631279	631536	257	Rv0538
NC_000962.3	633815	633828	13	Rv0541c
NC_000962.3	671963	675574	3611	PE_PGRS7
NC_000962.3	699978	699989	11	Rv0603
NC_000962.3	722323	722336	13	recB
NC_000962.3	794307	794318	11	lldD1
NC_000962.3	815580	815591	11	rplO
NC_000962.3	836073	838016	1943	PE_PGRS9
NC_000962.3	838769	840824	2055	PE_PGRS10
NC_000962.3	846346	846359	13	PE_PGRS11
NC_000962.3	854252	854261	9	_
NC_000962.3	863816	863829	13	Rv0770
NC_000962.3	898274	898287	13	Rv0804
NC_000962.3	925280	927624	2344	PE_PGRS12,PE_PGRS13
NC_000962.3	927879	930126	2247	PE_PGRS14
NC_000962.3	960166	960323	157	_
NC_000962.3	964577	965086	509	rpfA
NC_000962.3	968431	969896	1465	PE_PGRS15
NC_000962.3	976889	976906	17	PPE13
NC_000962.3	1031393	1031406	13	mntH
NC_000962.3	1082349	1082362	13	echA7
NC_000962.3	1083551	1083565	14	fadE12
NC_000962.3	1090731	1092330	1599	PE_PGRS16
NC_000962.3	1095058	1096065	1007	rpmF,PE_PGRS18
NC_000962.3	1112922	1112948	26	Rv0996
NC_000962.3	1121663	1121718	55	Rv1004c
NC_000962.3	1188072	1188091	19	Rv1066
NC_000962.3	1188422	1190081	1659	PE_PGRS19
NC_000962.3	1190777	1191808	1031	PE_PGRS20
NC_000962.3	1203526	1203539	13	pra
NC_000962.3	1211924	1213878	1954	PE_PGRS21
NC_000962.3	1216825	1218986	2161	PE_PGRS22
NC_000962.3	1262324	1263543	1219	PPE16
NC_000962.3	1318263	1318277	14	pks4
NC_000962.3	1339817	1339843	26	PPE18
NC_000962.3	1385041	1386328	1287	PE_PGRS23
NC_000962.3	1451778	1451995	217	thrC
NC_000962.3	1468105	1468116	11	Rv1312
NC_000962.3	1479785	1479799	14	Rv1318c
NC_000962.3	1481459	1481473	14	Rv1319c
NC_000962.3	1488185	1489618	1433	PE_PGRS24
NC_000962.3	1535297	1535329	32	Rv1363c
NC_000962.3	1572180	1573531	1351	PE_PGRS25
NC_000962.3	1612558	1612662	104	Rv1435c
NC_000962.3	1618234	1619323	1089	PE_PGRS26
NC_000962.3	1625332	1625345	13	opcA
NC_000962.3	1626613	1626627	14	zwf2
NC_000962.3	1628116	1628129	13	tkt
NC_000962.3	1630647	1634257	3610	PE_PGRS27
NC_000962.3	1634527	1634540	13	PE_PGRS27
NC_000962.3	1636015	1637867	1852	PE_PGRS28
NC_000962.3	1655641	1656374	733	PE_PGRS29
NC_000962.3	1677746	1677759	13	Rv1488
NC_000962.3	1773958	1774106	148	Rv1566c
NC_000962.3	1778080	1778093	13	bioD
NC_000962.3	1835388	1835402	14	coaE
NC_000962.3	1837485	1837498	13	uvrB
NC_000962.3	1863299	1865037	1738	PE_PGRS30
NC_000962.3	1895352	1895591	239	_
NC_000962.3	1915533	1915544	11	lprJ
NC_000962.3	1981992	1982378	386	PPE24
NC_000962.3	1982886	1983325	439	PPE24
NC_000962.3	1989863	1992237	2374	wag22
NC_000962.3	1992323	1992331	8	wag22
NC_000962.3	2000969	2002437	1468	PE_PGRS31
NC_000962.3	2034251	2034264	13	mycP5
NC_000962.3	2045000	2046473	1473	PE_PGRS32
NC_000962.3	2061204	2062307	1103	PE_PGRS33
NC_000962.3	2062541	2062554	13	PE_PGRS33
NC_000962.3	2074435	2074634	199	Rv1829
NC_000962.3	2077682	2077695	13	gcvB
NC_000962.3	2088006	2089162	1156	PE_PGRS34
NC_000962.3	2118994	2119007	13	Rv1868
NC_000962.3	2163730	2164085	355	PPE34
NC_000962.3	2165326	2165574	248	PPE34
NC_000962.3	2216720	2216733	13	Rv1972
NC_000962.3	2323136	2323149	13	cobH
NC_000962.3	2338194	2338202	8	Rv2081c
NC_000962.3	2347394	2347613	219	Rv2090
NC_000962.3	2356759	2357863	1104	PE_PGRS36
NC_000962.3	2358106	2358119	13	PE21
NC_000962.3	2372307	2372321	14	dop
NC_000962.3	2387281	2387833	552	PE_PGRS37
NC_000962.3	2414504	2414525	21	ftsW
NC_000962.3	2423283	2424495	1212	PE_PGRS38
NC_000962.3	2455970	2455984	14	trpD
NC_000962.3	2461325	2461504	179	qcrB,Rv2197c
NC_000962.3	2521691	2521704	13	accD6
NC_000962.3	2531889	2532209	320	Rv2258c
NC_000962.3	2536688	2536740	52	Rv2264c
NC_000962.3	2604156	2604191	35	lppP
NC_000962.3	2608579	2608593	14	_
NC_000962.3	2634002	2634015	13	PPE38
NC_000962.3	2637886	2638909	1023	PPE40
NC_000962.3	2639031	2639048	17	PPE40
NC_000962.3	2639331	2639346	15	PPE40
NC_000962.3	2639443	2639458	15	PPE40
NC_000962.3	2693158	2693846	688	PE_PGRS41
NC_000962.3	2742142	2742158	16	dctA,rne
NC_000962.3	2742249	2742415	166	rne
NC_000962.3	2769272	2769286	14	pepN
NC_000962.3	2780760	2780774	14	gdh
NC_000962.3	2795361	2797038	1677	PE_PGRS42
NC_000962.3	2801275	2805850	4575	PE_PGRS43
NC_000962.3	2815031	2815047	16	accA1
NC_000962.3	2816385	2816398	13	accA1
NC_000962.3	2818381	2818394	13	accD1
NC_000962.3	2873093	2873109	16	Rv2553c
NC_000962.3	2899441	2899454	13	Rv2575
NC_000962.3	2921943	2923167	1224	PE_PGRS44
NC_000962.3	2943577	2944640	1063	Rv2614A,PE_PGRS45
NC_000962.3	2960158	2961814	1656	PE_PGRS46
NC_000962.3	2982930	2982944	14	Rv2665
NC_000962.3	2996003	2996168	165	Rv2680
NC_000962.3	2997736	2997749	13	Rv2681
NC_000962.3	3007037	3007220	183	Rv2689c
NC_000962.3	3008060	3008073	13	Rv2690c
NC_000962.3	3054262	3055453	1191	PE_PGRS47
NC_000962.3	3057086	3057100	14	Rv2743c
NC_000962.3	3062509	3062523	14	Rv2749
NC_000962.3	3107859	3107873	14	Rv2799
NC_000962.3	3119182	3120524	1342	_
NC_000962.3	3121877	3123577	1700	_
NC_000962.3	3155882	3156089	207	_
NC_000962.3	3162620	3164033	1413	PE_PGRS48
NC_000962.3	3171467	3171626	159	Rv2859c
NC_000962.3	3186588	3186602	14	dipZ
NC_000962.3	3192198	3192353	155	frr
NC_000962.3	3232650	3232866	216	_
NC_000962.3	3234322	3234335	13	smc
NC_000962.3	3239470	3239821	351	_
NC_000962.3	3336503	3336798	295	Rv2980,ddlA
NC_000962.3	3343199	3343490	291	hupB
NC_000962.3	3349178	3349192	14	gltS
NC_000962.3	3364855	3364863	8	lppZ
NC_000962.3	3501606	3501620	14	PPE50
NC_000962.3	3528953	3528986	33	PPE53
NC_000962.3	3583119	3583132	13	moeB1
NC_000962.3	3593979	3593993	14	Rv3217c
NC_000962.3	3594262	3594458	196	_
NC_000962.3	3629331	3629345	14	sahH
NC_000962.3	3663698	3663995	297	accD5,accE5
NC_000962.3	3666868	3666881	13	accA3
NC_000962.3	3687965	3687979	14	glpD2
