Chrom	Start	End	NucDiv	OverlapGenes	Middle	NucDiv_kb	NucDiv_Z	NucDiv_ModZ	IsNucDivHotspot	N_HmMapAln_PR_Ovrlap	OvrlapWi_HmMapAln_PR	N_HmMapAln_LR_Ovrlap	OvrlapWi_HmMapAln_LR	N_LCR_Ovrlap	OvrlapWi_LowComplexityRegion	N_LowPmap_Ovrlap	OvrlapWi_LowPmap	PLC_Mask_Count	PLC_Mask_Ovrlap	N_mGCE	N_pGCE	N_Ovrlap_ParalogAlns	Num_PR_SNPs_All	Num_PR_SNPs_Unq
NC_000962.3	0	1000	0.000217905	dnaA	500.0	0.217905	-0.1787780777736711	0.1278628159627603	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	1000	2000	0.000790654	dnaA	1500.0	0.790654	0.8291718536378502	2.920255860264408	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	2000	3000	0.00030556	dnaN	2500.0	0.30556	-0.0245187927502544	0.5552179266626671	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	3000	4000	0.000221073	dnaN,recF	3500.0	0.221073	-0.1732028862277903	0.1433081526885296	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	4000	5000	0.000222481	recF,Rv0004	4500.0	0.222481	-0.1707250233185099	0.1501727467888715	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	5000	6000	7.90302e-05	gyrB	5500.0	0.0790302	-0.423176313536263	-0.5492104317404787	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	6000	7000	0.000482806	gyrB	6500.0	0.482806	0.2874068387968395	1.4193669649504508	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	7000	8000	0.000603991	gyrB,gyrA	7500.0	0.6039910000000001	0.5006737540391275	2.010194973508642	False	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
NC_000962.3	8000	9000	0.000385118	gyrA	8500.0	0.385118	0.1154910206989838	0.9430967458636618	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	9000	10000	0.000644562	gyrA,Rv0007	9500.0	0.644562	0.5720724586502168	2.2079957172905806	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	10000	11000	0.000171437	Rv0007,ileT	10500.0	0.171437	-0.2605545931631883	-0.0986882910363071	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	11000	12000	0.00102176	alaT,Rv0008c	11500.0	1.02176	1.2358827808481834	4.046995124578054	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	12000	13000	0.000405536	Rv0008c,ppiA	12500.0	0.405536	0.1514235525751817	1.0426431111625118	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	13000	14000	0.000747354	ppiA,Rv0010c,Rv0011c	13500.0	0.747354	0.7529705297942137	2.709150089991109	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	14000	15000	0.000926184	Rv0012,trpG	14500.0	0.926184	1.0676837571142483	3.5810217966417777	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	15000	16000	0.000860355	trpG,pknB	15500.0	0.8603550000000001	0.9518348668763096	3.2600776453410627	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	16000	17000	0.000562012	pknB	16500.0	0.562012	0.4267971865187577	1.80552963562636	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000962.3	17000	18000	0.00104323	pknB,pknA	17500.0	1.04323	1.2736666705230766	4.151670433764376	False	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
