phylogeny	H37Rv gene	Name	Amino acids	Subfamily	Sublineage	C-terminal PFAM	Comments
1	Rv3873	PPE68	368.0		1	-	
2	Rv0286	PPE4	513.0	PPE-PPW	2	-	
3	Rv0453	PPE11	518.0	PPE-PPW	2	-	
4	Rv2123	PPE37	473.0	PPE-PPW	2	-	
5	Rv3739c	PPE67	77.0	PPE-PPW	2	-	Likely pseudogene
6	Rv0256c	PPE2	556.0	PPE-PPW	2	-	
7	Rv0280	PPE3	536.0	PPE-PPW	2	-	
8	Rv3018c	PPE46	434.0	PPE-PPW	2	-	
9	Rv3022c	PPE48	81.0	PPE-PPW	2	-	Likely pseudogene
10	Rv0096	PPE1	463.0	PPE-PPW	2	-	
11	Rv1387	PPE20	539.0	PPE-PPW	2	-	
12	Rv2108	PPE36	243.0		3	-	
13	Rv3892c	PPE69	399.0		3	-	
14	Rv2430c	PPE41	194.0		3	-	
15	Rv3425	PPE57	176.0		3	-	
16	Rv3426	PPE58	232.0		3	-	
17	Rv3429	PPE59	178.0		3	-	
18	Rv0388c	PPE9	180.0	PPE-SVP	4	-	PPE-domain only, classified among PPE-SVP due to phylogeny Gey van Pittius 2006
19	Rv1168c	PPE17	346.0	PPE-SVP	4	PF12484	
20	Rv1801	PPE29	423.0	PPE-SVP	4	PF12484	
21	Rv1802	PPE30	463.0	PPE-SVP	4	PF12484	
22	Rv1807	PPE31	399.0	PPE-SVP	4	PF12484	
23	Rv1808	PPE32	409.0	PPE-SVP	4	PF12484	
24	Rv1809	PPE33	468.0	PPE-SVP	4	PF12484	
25	Rv3621	PPE65	413.0	PPE-SVP	4	PF12484	
26	Rv0915c	PPE14	423.0	PPE-SVP	4	PF12484	
27	Rv3135	PPE50	132.0	PPE-SVP	4	-	Likely pseudogene
28	Rv3136	PPE51	380.0	PPE-SVP	4	PF12484	
29	Rv3532	PPE61	406.0	PPE-SVP	4	PF12484	
30	Rv1039c	PPE15	391.0	PPE-SVP	4	PF12484	
30	Rv2770c	PPE44	382.0	PPE-SVP	4	PF12484	
31	Rv2768c	PPE43	394.0	PPE-SVP	4	PF12484	
32	Rv1196	PPE18	391.0	PPE-SVP	4	PF12484	
33	Rv1361c	PPE19	396.0	PPE-SVP	4	PF12484	
34	Rv3478	PPE60	393.0	PPE-SVP	4	PF12484	
35	Rv1705c	PPE22	385.0	PPE-SVP	4	PF12484	
36	Rv1789	PPE26	393.0	PPE-SVP	4	PF12484	
37	Rv1706c	PPE23	394.0	PPE-SVP	4	PF12484	
38	Rv2892c	PPE45	408.0	PPE-SVP	4	PF12484	
39	Rv1787	PPE25	365.0	PPE-SVP	4	PF12484	
40	Rv1790	PPE27	350.0	PPE-SVP	4	PF12484	
41	Rv2352c	PPE38	391.0	PPE-SVP	4	PF12484	
42	Rv3125c	PPE49	391.0	PPE-SVP	4	PF12484	
43	Rv0442c	PPE10	487.0	PPE-MPTR	5	PF01469	
44	Rv0755c	PPE12	645.0	PPE-MPTR	5	PF01469	
45	Rv1548c	PPE21	678.0	PPE-MPTR	5	PF01469	
46	Rv2356c	PPE40	615.0	PPE-MPTR	5	PF01469	
47	Rv3343c	PPE54	2523.0	PPE-MPTR	5	PF01469	
48	Rv0305c	PPE6	963.0	PPE-MPTR	5	PF01469	
49	Rv0355c	PPE8	3300.0	PPE-MPTR	5	-	
50	Rv0878c	PPE13	443.0	PPE-MPTR	5	PF01469	
51	Rv1135c	PPE16	618.0	PPE-MPTR	5	PF01469	
52	Rv1753c	PPE24	1053.0	PPE-MPTR	5	PF01469	
53	Rv1917c	PPE34	1459.0	PPE-MPTR	5	PF01469	
54	Rv1918c	PPE35	987.0	PPE-MPTR	5	PF01469	
55	Rv1800	PPE28	655.0	PPE-MPTR	5	PF08237 	Classified as MPTR by Gey van Pittius et al. 2006. However, no MPTR repeats or PF01469 domain is detected. Potein contains two SVP sequences, but no PF12484 domain. PF08237 motif was proposed by adlinda and guruprassad and may be hydrolase domain. 
56	Rv2608	PPE42	580.0	PPE-MPTR	5	PF08237 	GXGNxG domain present, no SVP present. PF08237 motif was proposed by adlinda and guruprassad and may be hydrolase domain.  
57	Rv3159c	PPE53	590.0	PPE-MPTR	5	PF01469	
58	Rv3533c	PPE62	582.0	PPE-MPTR	5	PF01469	
59	Rv3144c	PPE52	409.0	PPE-MPTR	5	-	Only one GxGNxG motif
60	Rv3558	PPE64	552.0	PPE-MPTR	5	PF01469	
61	Rv3347c	PPE55	3157.0	PPE-MPTR	5	PF01469	
62	Rv3350c	PPE56	3716.0	PPE-MPTR	5	PF01469	
63	Rv3539	PPE63	479.0	Inconclusive	N.A.	PFAM08237	Contains WxG motif. No PPE, but SPE motif. C-terminus does not contain MPTR or SVP motif. Not analysed by phylogeny Gey van Pittius et al. 2006. BLAST search of PPE-domain results in PPE28 and PPE21 (PPE-MPTR) as closest hits. PF08237 motif was proposed by adlinda and guruprassad and may be hydrolase domain. 
