Chrom	Start	End	Strand	Feature	H37rv_GeneID	Symbol	Functional_Category	Gene_Cat_V2	N_Pos	N_Neg	Total	Positive_Proportion	Middle	Length	AnyPosEpitope	Antigen_LVL2	N_HmRegion	HasHmRegion	AntigenLVL2_And_HHR_Comb
NC_000962.3	0	1524	+	CDS	Rv0001	dnaA	information pathways	information pathways	0	8	8	0.0	762.0	1524	False	False	0	False	NonReactive-Unq
NC_000962.3	2051	3260	+	CDS	Rv0002	dnaN	information pathways	information pathways	0	6	6	0.0	2655.5	1209	False	False	0	False	NonReactive-Unq
NC_000962.3	3279	4437	+	CDS	Rv0003	recF	information pathways	information pathways	0	6	6	0.0	3858.0	1158	False	False	0	False	NonReactive-Unq
NC_000962.3	4433	4997	+	CDS	Rv0004	Rv0004	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	4715.0	564	False	False	0	False	NonReactive-Unq
NC_000962.3	5239	7267	+	CDS	Rv0005	gyrB	information pathways	information pathways	0	8	8	0.0	6253.0	2028	False	False	0	False	NonReactive-Unq
NC_000962.3	7301	9818	+	CDS	Rv0006	gyrA	information pathways	information pathways	0	9	9	0.0	8559.5	2517	False	False	0	False	NonReactive-Unq
NC_000962.3	9913	10828	+	CDS	Rv0007	Rv0007	cell wall and cell processes	cell wall and cell processes	0	5	5	0.0	10370.5	915	False	False	0	False	NonReactive-Unq
NC_000962.3	11873	12311	-	CDS	Rv0008c	Rv0008c	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	12092.0	438	False	False	0	False	NonReactive-Unq
NC_000962.3	12467	13016	+	CDS	Rv0009	ppiA	information pathways	information pathways	0	3	3	0.0	12741.5	549	False	False	0	False	NonReactive-Unq
NC_000962.3	13132	13558	-	CDS	Rv0010c	Rv0010c	cell wall and cell processes	cell wall and cell processes	2	4	6	0.3333333333333333	13345.0	426	True	True	0	False	Antigen-Unq
NC_000962.3	13713	13995	-	CDS	Rv0011c	Rv0011c	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	13854.0	282	False	False	0	False	NonReactive-Unq
NC_000962.3	14088	14877	+	CDS	Rv0012	Rv0012	cell wall and cell processes	cell wall and cell processes	1	6	7	0.14285714285714285	14482.5	789	True	False	0	False	NonReactive-Unq
NC_000962.3	14913	15612	+	CDS	Rv0013	trpG	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	15262.5	699	False	False	0	False	NonReactive-Unq
NC_000962.3	15589	17470	-	CDS	Rv0014c	pknB	regulatory proteins	regulatory proteins	0	9	9	0.0	16529.5	1881	False	False	0	False	NonReactive-Unq
