HmRegionID	Overlap_Genes	Chr	Start	End	Center	Length	pGCE_Count	Overlap_GC_EventIDs
HmRegion_009	vapC25,vapB25,PE_PGRS3	NC_000962.3	332698	336379	334538.5	3681	1	Event_001
HmRegion_018	Rv0393	NC_000962.3	473743	474099	473921.0	356	1	Event_002
HmRegion_031	PE_PGRS10,vapB31,vapC31	NC_000962.3	838485	841665	840075.0	3180	1	Event_003
HmRegion_032	Rv0750	NC_000962.3	842019	842331	842175.0	312	2	Event_004,Event_005
HmRegion_039	PE_PGRS17	NC_000962.3	1093195	1094592	1093893.5	1397	1	Event_006
HmRegion_040	Rv0979c,rpmF,PE_PGRS18	NC_000962.3	1094827	1096692	1095759.5	1865	1	Event_006
HmRegion_049	Rv1148c	NC_000962.3	1276292	1277797	1277044.5	1505	1	Event_007
HmRegion_052	PE13,PPE18	NC_000962.3	1338923	1340433	1339678.0	1510	5	Event_008,Event_009,Event_010,Event_011,Event_012
HmRegion_053	PPE18,esxK,esxL	NC_000962.3	1340494	1341292	1340893.0	798	1	Event_010
HmRegion_059	PPE19	NC_000962.3	1532461	1533653	1533057.0	1192	2	Event_013,Event_014
HmRegion_102	Rv2100	NC_000962.3	2358502	2360031	2359266.5	1529	1	Event_015
HmRegion_128	Rv2650c,Rv2651c,Rv2652c	NC_000962.3	2973775	2975987	2974881.0	2212	1	Event_016
HmRegion_147	ppsB	NC_000962.3	3251819	3253802	3252810.5	1983	1	Event_017
HmRegion_152	PPE46,PE27A	NC_000962.3	3376926	3378450	3377688.0	1524	3	Event_018,Event_019,Event_020
HmRegion_170	PPE56	NC_000962.3	3755950	3767119	3761534.5	11169	2	Event_022,Event_023
HmRegion_176	PPE59,Rv3430c	NC_000962.3	3846460	3847892	3847176.0	1432	1	Event_024
HmRegion_179	PE31,PPE60	NC_000962.3	3894016	3895588	3894802.0	1572	3	Event_025,Event_026,Event_027
